id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183878663806345223,"Ce matin, au lycée de Beaupréau avec @jptricoire, pdg de @SchneiderElec, @C_MORANCAIS et @AndreMARTIN126 pour signature Convention de partenariat. Une #entreprise et un #lycee de l’@EnsCatho des @paysdelaloire pour préparer les jeunes ligériens aux métiers et enjeux de demain. [LIEN]",Mon Oct 14 22:54:03 +0000 2019,FOSCHIA Aldo,2201944415,2,0
1183848510069846016,La #fibre arrive Réunion publique d’information à Craon Salle du Mûrier 20h 22 octobre. @lamayenne #THD53 @orange @MayenneFibre @paysdelaloire @Prefet53 [LIEN],Mon Oct 14 20:54:14 +0000 2019,Christophe LANGOUET,842782160264347648,2,4
1183835471564148736,"#Formation #domotique À ⁦⁦⁦@DomSortais⁩, les #Mauges se connectent à ⁦@SchneiderElecFR⁩, via @courrierouest ⁦@paysdelaloire⁩ ⁦ [LIEN]",Mon Oct 14 20:02:25 +0000 2019,Yves Boiteau,920240272793112576,5,3
1183811587620163584,"Ligérien un jour, ligérien toujours. Bravo pour cette initiative. Vraiment enthousiasmant! @jptricoire @SchneiderElec @paysdelaloire [LIEN]",Mon Oct 14 18:27:31 +0000 2019,Claire Venard,2350330776,1,0
1183791010431811586,"Trafic très perturbé sur le réseau ferroviaire dans les @paysdelaloire 

Beaucoup de trains annulés entre @nantesfr @Angers et @lemanstourisme 

Renseignez-vous avant de partir...

@SNCF [LIEN]",Mon Oct 14 17:05:45 +0000 2019,ChrisProlls  🌟🌟,969845521,0,0
1183787943166697474,Grosse pensée à toutes les équipes de @TERPays2LaLoire qui se démènent pour remettre en circulation les trains bloqués par les intempéries qui sévissent en @paysdelaloire. [LIEN],Mon Oct 14 16:53:34 +0000 2019,𝐘𝐨𝐧𝐚𝐡 👩🏻‍💻,493549998,7,1
1183751486322479109,"#SemaineDuLogement @ActionLogement &amp; la @CPMEPDL se mobilisent tte la semaine en proposant des #permanences dans les agences @paysdelaloire, tous les matins de 9h à 12h, pour promouvoir les aides au logement &amp; les accompagnements au profit des salariés ➡ [LIEN] [LIEN]",Mon Oct 14 14:28:42 +0000 2019,CPME PDL,2175839334,5,3
1183735659921661954,"#meteo  #orages #NantesAtlantique Les averses orageuses se succèdent dans les @paysdelaloire 

#timelapse de la #webcam de Cordemais

Voir en direct: [LIEN] [LIEN]",Mon Oct 14 13:25:48 +0000 2019,Vision-Environnement,53650323,4,2
1183723041592877056,Magazine de la région @paysdelaloire ou auto-promo de la Présidente @C_MORANCAIS ? 🤔 #paysdelaloire @LREM_PDL [LIEN],Mon Oct 14 12:35:40 +0000 2019,Romain Boeuf-Alary,1082694800,3,0
1183698736343666689,"La ferme de Nermoux en #vendée lance un financement participatif pour sa cave d'affinage !
#invitationalaferme @MiiMOSA_fr @agriculturebio @PrefetVendee @DepVendee @TVVendee @interbioPdL @CAB_BIO_PDL @paysdelaloire @OuestFrance 
[LIEN] [LIEN]",Mon Oct 14 10:59:05 +0000 2019,Invitationàlaferme,827219788904660994,2,0
