id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184504415891402755,"Avis aux explorateur·rice·s d' #opendata dans la région de #Poitiers : les inscriptions sont ouvertes pour le #hackaviz du @Grand_Poitiers qui se tiendra à partir du 29/11.

Au programme : une newsletter inspirante, des données parlantes et une équipe détonante! [LIEN]",Wed Oct 16 16:20:34 +0000 2019,datactivist,757676828664422401,1,0
1184414588160434176,"#Poitiers : l'événement "" Traversées - Kimsooja "" s'invite au musée #artcontemporain @TraverseesP @Grand_Poitiers  [LIEN]",Wed Oct 16 10:23:37 +0000 2019,Laurent Favreuille,275533783,1,0
1184385945610706947,C’est vrai @Grand_Poitiers ? [LIEN],Wed Oct 16 08:29:48 +0000 2019,Seve86,23059662,0,0
1184374580342865920,"📣Bonjour Twitter ! Bienvenue sur le profil de la #MissionLocale d'Insertion du #Poitou ! 
Actus #emploi #formation #orientation, rencontres professionnelles ... une multitude d'infos pour les #jeunes et #entreprises des bassins de @Grand_Poitiers #HautPoitou et alentours 👍",Wed Oct 16 07:44:39 +0000 2019,Mission Locale d'Insertion du Poitou,1184372745443926017,3,0
1184351201141428229,"En direct sur @Bleu_Poitou , Alain Claeys @Grand_Poitiers et @brunobelin @departement86 parlent du @LeTour @francebleu Radio Officielle du #TDF2020 [LIEN]",Wed Oct 16 06:11:45 +0000 2019,vieira campos,280434034,6,2
1184218261568786432,Oui MAIS.. Encore faut-il que les infrastructures soient présentes... Ex : à @Grand_Poitiers @poitiersfr @Poitiers2020 je ne peux pas ojd prendre mon vélo pour aller travailler. Pas de piste cyclable sécurisée sur mon trajet... [LIEN],Tue Oct 15 21:23:29 +0000 2019,Hadrien PHILIPPE🇪🇺,2174522399,3,0
1184185153821822981,"Ce matin, CoPil du ""Forum International du Numérique pour l'Education"" (in FINE) qui se déroulera du 3 au 5 juin 2020 au parc des expositions de Poitiers  @EducationFrance @NvelleAquitaine @Grand_Poitiers @reseau_canope @UnivPoitiers @reseauSPN @emfpoitiers @ucldv @Ih2ef @cned [LIEN]",Tue Oct 15 19:11:56 +0000 2019,ChristopheChasseguet,740535959192797184,9,4
1184138349830967296,... et @Grand_Poitiers confirme son attachement à l'esport en renouvelant cette année sa participation à la #PGW ! [LIEN] [LIEN],Tue Oct 15 16:05:57 +0000 2019,Fabien Bonnet,556804299,0,0
1184108804352499714,#Poitiers : Prima la musica débute avec “ Carmen ” #concerts #classique #Conservatoire de @Grand_Poitiers ttps://www.lanouvellerepublique.fr/poitiers/prima-la-musica-debute-avec-carmen,Tue Oct 15 14:08:33 +0000 2019,Laurent Favreuille,275533783,1,0
1184107746452332545,Fan de ce parcours du @LeTour 2020 avec un week-end sur @villedelyon 😁! Un parcours avec des étapes qui me sont cheres ! Un beau passage dans cette magnifique région de Charente maritime ! 🤗@IledeRe_ + @Chatelaillon + @Grand_Poitiers 😍 - Hâte d’être en Juillet 2020! [LIEN],Tue Oct 15 14:04:21 +0000 2019,Sylvain CORDIER 🇫🇷,421100663,1,0
1184067816502235137,"Le #velo à l'honneur @Grand_Poitiers en 2020. Est-ce que toutes les pistes et bandes cyclables pour ces héros du #velotaf seront prêtes.😉
@velocite_86
@FUB_fr
Tour de France 2020 [LIEN]",Tue Oct 15 11:25:41 +0000 2019,Gildas Merceron,1059696623218053120,5,0
1184055584016031744,Tellement fier de voir le tour chez nous @Grand_Poitiers Chauvigny @departement86 [LIEN],Tue Oct 15 10:37:04 +0000 2019,Stephen Delcourt,147638545,24,1
1184033733093015553,"De nombreux ateliers sont prévus #Laborit pour ""mettre en boîte"" le nouveau Préjugix 400mg ✌️ @ARS_NAquit @Grand_Poitiers et les associations d'usagers et les GEM

[LIEN] [LIEN]",Tue Oct 15 09:10:14 +0000 2019,CH Laborit,434796004,2,2
1183821870346526722,"Combien de compétences ont été transférées à @Grand_Poitiers ?! 
Les taux de @Grand_Poitiers n’ont pas augmentés ? Et pourquoi ceux de @poitiersfr n’ont pas baissé en compensation ?
Comme dit dans mon message avec un taux &gt;30% heureusement qu’ils n’augmentent plus...
#tartuffe [LIEN]",Mon Oct 14 19:08:22 +0000 2019,Matthieu Boisson,580889507,0,0
1183817477035307008,"Avec +10,5% pr @Grand_Poitiers +2,2% pr @poitiersfr sans oublier les +3,3% pr la taxe d’ordures ménagères, la #taxefonciere continue son envolées à #Poitiers !
Les taux n’ont certes pas changer pr @poitiersfr ms avec 31,7% contre 20% ds la majorité des villes, ils ont de la marge",Mon Oct 14 18:50:55 +0000 2019,Matthieu Boisson,580889507,1,0
1183782837813743616,Cette année encore l'association @SilverGeekPC sera présente à la @ParisGamesWeek aux côtés de @Grand_Poitiers ! Merci au @SELL_JeuxVideo pour son soutien ! @VB_Partenariats @uniscite,Mon Oct 14 16:33:16 +0000 2019,Jean-Pierre Lartige,380343883,10,2
1183773610571374592,"Vous avez un #projet de création ou de développement dans le Grand Ouest ? Rendez-vous demain dès 8h30 avec les équipes du @Grand_Poitiers
 !
[LIEN]
#entreprise #innovation #aides [LIEN]",Mon Oct 14 15:56:36 +0000 2019,Geolink Expansion,1160546172,1,1
1183726052532805636,"Women Can Ball, le tournoi 💯 féminin, c'est ce week-end au @CREPS86
Sans oublier les partenaires du tournoi 
@3x3ffbb @NvelleAquitaine @Grand_Poitiers @departement86 @poitiersfr @GRDF @acpoitiers @UnivPoitiers @FSSPoitiers #comitebasket86  @LigueBasketNAQ #drdjscs86 [LIEN]",Mon Oct 14 12:47:38 +0000 2019,3x3poitiers,829294560455094272,23,12
1183630000274268160,"📌🙋‍ La #ParticipationCitoyenne, ça se passe dans les territoires !

Découvrez le dispositif mis en place par le @Grand_Poitiers pour construire collectivement les grandes politiques publiques ➡ [LIEN]

#collterr @gouvernementFR @ScPoEUrbaine [LIEN]",Mon Oct 14 06:25:57 +0000 2019,France urbaine,249606051,3,6
1183438978562842625,"🚌🚴‍♀️ « La mobilité à @Grand_Poitiers en débat » : c’était le thème de notre 12e plénière publique, dont le compte-rendu est désormais en ligne ! 
Nous avons collectivement acté la position de Poitiers Collectif sur deux sujets d'importance... 👇[thread]
[LIEN]",Sun Oct 13 17:46:54 +0000 2019,Poitiers collectif,1052913941788143617,6,5
1183415537973551104,#OctobreRose2019  ensemble contre le #cancer du #sein @Grand_Poitiers @UnivPoitiers @CHU_de_Poitiers #OctobreRose [LIEN],Sun Oct 13 16:13:45 +0000 2019,Christine Fernandez,538417749,2,2
1183413993693765633,Nous nous investissons dans la recherche sur le e-sport @UnivPoitiers  avec @Grand_Poitiers [LIEN],Sun Oct 13 16:07:37 +0000 2019,Christine Fernandez,538417749,5,0
1183092952559738944,"Ouverture officielle #traverseeskimsooja, invitation à la (re)découverte des édifices du patrimoine de @poitiersfr. Événement soutenu par @DSDEN86 @daacpoitiers @acpoitiers. Plus de 30 classes de @Grand_Poitiers y participeront dans les 3 prochains mois. Enrichir #parcours #EAC [LIEN]",Sat Oct 12 18:51:55 +0000 2019,DSDEN de la VIENNE,1166726789680570369,18,9
1183036893476413440,Ouverture de la @TraverseesP en présence des poitevins nombreux. Bravo à @poitiersfr @Grand_Poitiers #kimsooja #artcontemporain [LIEN],Sat Oct 12 15:09:09 +0000 2019,Xavier MOINIER,352490164,2,0
1182970527213871110,"L equipage du @ClubFACE86 découvre les entreprises locales grâce au @RDPepites @Grand_Poitiers @CAChatellerault 
Sourire, bonne ambiance, convivialité
Superbe initiative 👏👏👏 [LIEN]",Sat Oct 12 10:45:26 +0000 2019,Club FACE 86,914778857001160704,12,6
1182930263350923264,Here we are ! 14 ème Festival Arc'images Saint-Benoît ! #photography  #art #festival #saintbenoit @Grand_Poitiers [LIEN],Sat Oct 12 08:05:27 +0000 2019,WILENSKY Boris,3028175818,3,0
1182927429674897408,"Très heureux d'avoir participé à la cérémonie de remise des prix du Creathon 2019 ""intelligence artificielle et école inclusive"" en association avec @auf_org @UnivPoitiers @emfpoitiers @Grand_Poitiers @RESEAUSPN @reseau_canope @Ih2ef @ucldv [LIEN]",Sat Oct 12 07:54:11 +0000 2019,ChristopheChasseguet,740535959192797184,21,6
1182725203077533702,"Ni du côté de @Grand_Poitiers et @CAChatellerault [LIEN]
On compte sur vous !! [LIEN]",Fri Oct 11 18:30:37 +0000 2019,Vélocité 86,4897343349,4,2
1182716386981961728,"Le travail photographique des #Amisdelimage est présenté au festival de Saint-Benoît @Grand_Poitiers aux côtés de @BorisWilensky, Carter Ray, Paul Muse... #photographie [LIEN]",Fri Oct 11 17:55:35 +0000 2019,Hélène Rémond,199662901,3,1
1182652624912470017,"Rappel : ce soir à 20h30 conférence ""un paléontologue à la ferme"" de Gildas Merceron (@palevoprim ) à la Mairie de #Lusignan 86600 @Grand_Poitiers @UnivPoitiers @Inra_France",Fri Oct 11 13:42:13 +0000 2019,PALEVOPRIM,1053263788315738115,4,4
1182638220972036096,"#3x3Poitiers à l'honneur dans le top 10 2019 @FIBA3x3 #WS et Ligna Touré @Lokossoo number 1 !!! 
[LIEN]

@3x3Ffbb @futuroscope @VolvoCarFR @GRDF @blastrac @CreditAgricole @departement86 @poitiersfr @Grand_Poitiers @NvelleAquitaine",Fri Oct 11 12:44:58 +0000 2019,3x3poitiers,829294560455094272,6,3
