id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183363440649342976,"Non Monsieur le policier, je ne sortirais pas d'ici sans ma weed! Elle est légale et j't'emmerde [LIEN] via @YouTube @legrandjd @CBD_Nation @PoliceNationale @Gendarmerie @EmmanuelMacron",Sun Oct 13 12:46:44 +0000 2019,KlemouloxTv,1181223404797677568,2,0
1183361006552125440,Dites @PoliceNationale @CCastaner des commentaires peut être [LIEN],Sun Oct 13 12:37:04 +0000 2019,theboss,1167096767307026432,0,0
1183355584227303424,"🇨🇵 [MAINE-ET-LOIRE]
#RS2019 à #CoeurDeMaine @Angers sous un beau 🌞 ! Les #Angevins sont venus nombreux à la rencontre de ceux qui nous protègent ! @Prefet49 @Gendarmerie @PoliceNationale @SDIS_49 @SecCivileFrance @Maine_et_Loire @ecolegenie49 @justice_gouv #PoliceMunicipale [LIEN]",Sun Oct 13 12:15:31 +0000 2019,AmisGendarmerieComité49-4,1139638058335293441,2,0
1183354518333022208,"ELLE.  L’A.  BIEN.  CHERCHÉ. 
Bonjour, @PoliceNationale @CCastaner : il est insupportable de lire, en 2019, qu’une femme portant une tenue « provocante » chercherait donc à se faire harceler sexuellement.  #slutshaming #meToo #toutesEnsemble #tousEnsemble @safiakessas [LIEN]",Sun Oct 13 12:11:17 +0000 2019,Rosanne Mathot,457778883,5,0
1183348125454491649,"Vous voulez qu’on les respectes alors qu’ils n’ont aucuns respects , @PoliceNationale apprenez le respect à vos policiers avant de leurs apprendre la défense . C’est honteux et après vous osez dire que c’est les jeunes de quartier qui provoquent... [LIEN]",Sun Oct 13 11:45:53 +0000 2019,Lindo,1009411926227603457,3,3
1183343282664935424,"Voilà c'est quoi la police aujourd'hui, est après on dit qu' il son la pour nous protéger aller vous faire foutre, vous êtes tous corrompus bande de guignols

@PoliceNationale @EPhilippePM @EmmanuelMacron @CCastaner [LIEN]",Sun Oct 13 11:26:38 +0000 2019,🔰 #LaTeamFanzouze 🔰,1100375661657686016,3,1
1183340070918639617,MAIS BORDEL!!!! Vous comprenez pourquoi men are trash ? Pourquoi le patriarcat c’est de la merde ? Les institutions policières et judiciaires aussi ? @PoliceNationale vous n’avez aucune honte ??? [LIEN],Sun Oct 13 11:13:52 +0000 2019,Moon♈The Divine Feminine🌙,579805542,1,0
1183338443549622273,"Quand tu lis ce genre de commentaires immondes à propos de la @PoliceNationale.
Juste honteux... [LIEN]",Sun Oct 13 11:07:24 +0000 2019,Provençal le Gaulois,906202954176319489,0,0
1183331970232782849,"Et oui, @policenationale @Place_Beauvau @CCastaner, un.e pigiste est bel et bien un.e journaliste. C’est la loi. Nous avons des bulletins de salaires de nos employeurs. Et on peut même être journaliste sans carte de presse. [LIEN]",Sun Oct 13 10:41:41 +0000 2019,Ras la plume,1087273413129977856,39,28
1183330431468527616,". @prefpolice @PoliceNationale j'apprends ce matin que ma tante qui vit à Coubron (93) est menacée de mort par sa voisine et agressée régulièrement. La seule chose qui soit mis en place est une ""conciliation"" entre les 2 parties ?

Vous attendez quoi pour calmer la situation ?",Sun Oct 13 10:35:34 +0000 2019,Ꭺ Ꮮ Ꭼ ㄨ,309275623,2,0
1183327829750095873,"Les milices de @EmmanuelMacron et @CCastaner ont des familles qui partageront notre destin, ils le partageront aussi, ils ne seront pas épargné @PoliceNationale @Gendarmerie [LIEN]",Sun Oct 13 10:25:14 +0000 2019,XforFAA,706177968842915842,0,0
