id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183358764616953856,Faut le signaler c’est un début de radicalisation @prefpolice [LIEN],Sun Oct 13 12:28:09 +0000 2019,Maro-عمر ⚽Ⓜ,2148959552,0,0
1183357961466454016,C'est forcément une photo truquée des députés peuvent-ils faire cela @prefpolice ? [LIEN],Sun Oct 13 12:24:58 +0000 2019,La Vigie,1002307460,1,2
1183355908128169984,C’est inadmissible ! Ce genre de comportement pour des policiers @prefpolice [LIEN],Sun Oct 13 12:16:48 +0000 2019,MY NORADAY / MIN DAY 🌸,967220030038528000,0,0
1183330431468527616,". @prefpolice @PoliceNationale j'apprends ce matin que ma tante qui vit à Coubron (93) est menacée de mort par sa voisine et agressée régulièrement. La seule chose qui soit mis en place est une ""conciliation"" entre les 2 parties ?

Vous attendez quoi pour calmer la situation ?",Sun Oct 13 10:35:34 +0000 2019,Ꭺ Ꮮ Ꭼ ㄨ,309275623,2,0
1183272204777246720,"Bonjour @PoliceNationale @prefpolice @Gendarmerie j’ai retrouvé #DeLigonnes il a fait quelques opérations chirurgicales mais c’est lui ! J’le jure sur sa tête ! Allez l’arrêter ! Merci, bisous 😘 [LIEN]",Sun Oct 13 06:44:12 +0000 2019,Pd festif auto-entrepreneur,93924721,2,0
1183269687167197184,"Aujourd'hui c'est les #Fouleesdutram, je sens que je vais être frais après une nuit sans sommeil grâce au Teknival pour Steve 😡 
@PoliceNat44 @prefpolice pour faire des arrêtés pour interdire les déplacements de supporters ya du monde mais pour un festival ta plus personne",Sun Oct 13 06:34:12 +0000 2019,Stéphane 🔰,1855071530,3,1
1183181835016294400,C’est comme ça vous dressez vos clebs @prefpolice ? Des vrais pit bulls sans aucun sentiments [LIEN],Sun Oct 13 00:45:06 +0000 2019,Le PGM du Fail 🦋💀,2226133385,0,0
1183181247188742145,Euh la @prefpolice vous jouez à quoi ? Enfin racontez vos bails ? Et btw je crois que @Cyrilhanouna tiens son nouveau chroniqueur. On a un commentateur serving us drama realness [LIEN],Sun Oct 13 00:42:46 +0000 2019,Réda Ramdani,1148798024665227265,0,0
1183176001204948997,Ptdrrr @prefpolice qui m’insulte de «Musulman» mdrr 👏🏾,Sun Oct 13 00:21:55 +0000 2019,サミーラズキ,1078760234083069952,2,0
1183153280224026626,"C’est une photo qui mérite des explications :
- @Deputee_Obono - @alexiscorbiere
- des membres @FranceInsoumise
en réunion avec #HadamaTraoré l’organisateur de la manifestation interdite en soutien à #MickaelHarpon le #terroriste de la @prefpolice
La France Insoumise ennemi 🇫🇷 [LIEN]",Sat Oct 12 22:51:38 +0000 2019,Pascal Speter,90284129,2,3
