id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183969602310758401,"J'ai sorti mon bon k-way des oubliettes, @Quechua merci tu me sauves la vie [LIEN]",Tue Oct 15 04:55:24 +0000 2019,mercotte fan account,3565558397,2,0
1183654124346335234,"Très heureux de participer, à mon niveau, à la plateforme de Co-création ⁦@Quechua⁩ #camping ⁦@Decathlon⁩. Je trouve l’idée excellente de faire participer des #clients à vos échanges et de vous aider à avancer. En plus l’outil utilisé est très #ergonomique #relation [LIEN]",Mon Oct 14 08:01:49 +0000 2019,Jacq-Olivier Cuenin,574733855,3,0
1182412927434969088,"On rigole, mais quechua seul marque qui aura tenu toute génération sans soucis, faillite etc.. et en plus super rapport qualité prix @Quechua",Thu Oct 10 21:49:44 +0000 2019,Anto,4899559126,3,0
1181870054742351872,"Il était temps de sortir @Quechua @Decathlon de leur zone de confort en leur faisant essayer un nouveau sport : la politique. C'est @MonsieurKak qui joue le coach  💪 !
[LIEN]",Wed Oct 09 09:52:33 +0000 2019,Olivier Auguste,460396715,9,4
1181805045186211840,"Je n'ai pas suivi l'histoire de la #manifencours , ils dorment dans des tentes et se relaient. Mais je vois que @Decathlon et @Quechua sont 100% partenaires 😂😂",Wed Oct 09 05:34:14 +0000 2019,La noix,879031381376086016,0,0
1180909697840246785,"Modèle disponible pour shootings decathlon @quechua n'hésitez pas à me contacter pour trouver une disponibilité
--
--
📸 : toniecda
--
--
#Decathlon #quechua #mountains #viaferrata à Passy Plaine-Joux [LIEN]",Sun Oct 06 18:16:26 +0000 2019,Matt,1563946080,1,0
1184342549990924289,"Déjà fait avec une de @quechua qui sont pas chères du tout. Une pour le sport, une au bureau :) [LIEN]",Wed Oct 16 05:37:22 +0000 2019,Kalksten,1091607538343260165,0,0
1184193516001484801,J'ai ma gourde en métal (poke @Decathlon @Quechua 😜) #LemissionPourLaTerre,Tue Oct 15 19:45:10 +0000 2019,Richard 🏳️‍🌈,759679518135156736,0,0
1184705729049042944,"Sac poubelle + tente @Quechua , la classe [LIEN]",Thu Oct 17 05:40:31 +0000 2019,Kelfo ❄️,782533391644233728,0,0
1184528089906327552,mouais... le @Quechua ça reste quand même mieux [LIEN],Wed Oct 16 17:54:38 +0000 2019,BonneHache,1033471725156147200,0,0
1184457903865942017,Y’a mon pote Zied qui est parti faire Aix En Provence jusqu’en Asie a pied ce fou suivez son aventure sur Instagram le connaissant il va vraiment le faire 🤣 [LIEN] @Quechua Y’a de la sponso à faire 🤦‍♂️,Wed Oct 16 13:15:45 +0000 2019,Darwin Mcfly,96854120,0,0
1184457342571679745,Alors comme ça on fait du textile maintenant @Quechua ? [LIEN],Wed Oct 16 13:13:31 +0000 2019,Theo Nexo™,2354585308,2,0
