id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183364204893495296,On ce revoit sur la scène @Rainbow6FR cette année les gens ? 😁 [LIEN],Sun Oct 13 12:49:46 +0000 2019,KALEL 🇩🇿,2850720496,14,0
1183363039720022016,"3 Partie, 2 de crash ! Bravo @UbisoftFR @Rainbow6FR",Sun Oct 13 12:45:09 +0000 2019,Spartiate_Sehax🏆,1068886412290863104,0,0
1183311310576148481,Quelle merveilleux équilibrage @Rainbow6Game @Rainbow6FR ouaww faite vraiment quelque chose [LIEN],Sun Oct 13 09:19:35 +0000 2019,AjaX #BDSPOWER,2214475885,0,0
1183298772396314627,"{#ANNONCE}

Bonjour a tous, aujourd’hui nous vous annonçons les nouvelle recru qui commence a complète notre equipe @Rainbow6FR 

Bienvenu:
-@BDeadzy 
-@Shekeiii 
-@Nizay16 
-@hugo_briet 

Nous recherchons donc un dernier joueur pour compléter notre équipe plus d’info prive GL!👍🏻",Sun Oct 13 08:29:46 +0000 2019,ThianshiE,1170272399423627270,4,3
1183295308412964864,"bonjour @Rainbow6FR comme je réalise la liste des doubleurs Francais sur la page Wikipédia de Rainbow Six Siege, es ce que je pourrais avoir la liste des doubleurs français ayant été requis pour ce jeu afin de compléter la page merci .",Sun Oct 13 08:16:00 +0000 2019,Alistair henderson,787247908513087488,0,0
1183177128126435328,8 fois d’affilée en attaque mais 100% random du coup 😑@Rainbow6FR [LIEN],Sun Oct 13 00:26:24 +0000 2019,Billly,1026809398814040064,1,0
1183129855061303298,"Alors @UbisoftFR @Rainbow6FR , je sais, que je suis incroyablement fort et que c'est compliquée de me trouver des adversaires, mais me mettre en 1vs5 c'est un peu trop non ? 😭😭 [LIEN]",Sat Oct 12 21:18:33 +0000 2019,Rémi ''Blinky'' C.,3252801016,0,0
1183102094099783692,2 mec qui tk en ranked début de partie @Rainbow6Game  @Rainbow6FR [LIEN],Sat Oct 12 19:28:14 +0000 2019,yanis szablewski,4364500997,0,0
1183099051547516928,"🔴Le Labo en live🔴
⚠️ Game viewer⚠️
@KoubiakR6S  et @Menbalektv sont sur @Rainbow6FR 
🎬[LIEN]",Sat Oct 12 19:16:09 +0000 2019,Le Labo,1177605053202468865,2,2
1183026770137628672,J’en ai marre de me faire kick sans raison et de ne plus pouvoir reprendre ma classé tranquillement ! @UbiSupportFR @Rainbow6FR,Sat Oct 12 14:28:56 +0000 2019,☠️Āsreymen☠️,800439503445860354,3,0
1183001333663711232,"Voilà tout les jours c est comme ca sur Playstation 4. Bravo @UbisoftFR  @UbiSupportFR @Rainbow6Game @Rainbow6FR 
Votre jeu va mourir ras le bol [LIEN]",Sat Oct 12 12:47:51 +0000 2019,🇫🇷 didi 🇫🇷,717085336132825088,0,0
1182989035222028288,Quand ton ex est russe .... 🧐 @Rainbow6FR @UbisoftFR [LIEN],Sat Oct 12 11:58:59 +0000 2019,Kiss and Cod,1182438858086080512,0,0
1182868242995580928,Sa fait grave plaisir sur @Rainbow6FR j'ai h24 4 6 personne constante sur mes lives ;)))))) [LIEN],Sat Oct 12 03:59:00 +0000 2019,=(,1069923083174187009,0,0
1182737068918792193,Les 2 premiers de l'équipe bleu   cheat  (Wallhack/aimbot)  @UbisoftFR @Rainbow6FR [LIEN],Fri Oct 11 19:17:46 +0000 2019,Paulol,1048298286262706178,3,1
1182664944044724224,"Bonsoir @UbisoftFR  , je remarque sur  le jeu 
@Rainbow6FR
 à propos de Uplay+ y a pas tout les saisons surtout Year 4 et pourtant c'est bien marqué dans le contrat on a tout les seasons pass !!!",Fri Oct 11 14:31:10 +0000 2019,The Gameuze Discotik 🇩🇿🦋,780725135305170944,1,0
1182628411744882689,"Il lance un live sur @Rainbow6FR en soloQ, ça tourne mal, explications :
[LIEN]",Fri Oct 11 12:06:00 +0000 2019,Kivvi,2534561743,4,0
1182506143190585344,ThokKrakk deviens grand sur 🔥World of Warcraft ! On continue le leveling dès 13h pour ensuite basculer sur 🔥Rainbow Six Siege avec les viewers en 2ieme parti ! Hype ! :D @Warcraft_FR @Rainbow6FR @RTtwitchFR @PetitsStreams [LIEN],Fri Oct 11 04:00:09 +0000 2019,Sir-Aza 🌐,216446248,1,1
1182408403672600578,Mais putin s’il vous plaît @UbisoftFR @Rainbow6FR faite quelque chose on peut plus jouer sérieusement Go les banne ip s’il vous plait 😤😤 [LIEN],Thu Oct 10 21:31:46 +0000 2019,BlaanKa,1163166022704214016,2,3
1182400815501398016,"On part en live @Rainbow6FR, j'espère que vous serez au rendez-vous !!! 

&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; [LIEN]",Thu Oct 10 21:01:37 +0000 2019,Shyra,4794845550,0,0
1182385328927236097,"Je me suis pris une pénalité d'abandon en pleine ranked, la game n'a pas compté comme perdu alors pouvez vous m'expliquer ? @Rainbow6FR",Thu Oct 10 20:00:04 +0000 2019,LaKarot,1180569768581111808,0,0
1182320969844695041,"Les ""déconnexions des serveurs"" sur R6 qui te comptent comme un abandon alors que tu n'y est pour rien on dit merci à @UbisoftFR @Ubisoft @Rainbow6FR",Thu Oct 10 15:44:20 +0000 2019,Anonymous,1088750428022628352,0,0
1182294717536452608,#R6 Hier soir lors des #CSSR6W malgré un magnifique match de la part de nos joueuses @Rainbow6FR !!! Nous nous inclinons 7-4 face à #SPYS !!! [LIEN],Thu Oct 10 14:00:01 +0000 2019,HellSide Esport,1090605940934668288,10,0
1182291051765215237,"Merci @GetRhinoShield et @Rainbow6FR pour cette collaboration depuis le temp que j’attendais je suis pas déçu.

[LIEN] [LIEN]",Thu Oct 10 13:45:27 +0000 2019,@SquIdZ_GMDD🐙,4845946985,1,0
1182269239392116737,je pose ça là  @BanouYTB @UbisoftFR @Rainbow6FR @KalelYtb [LIEN],Thu Oct 10 12:18:46 +0000 2019,🎮Waab gamer-creed🦊,339096546,0,0
1182099729343275009,"J'adore les games comme ça 
@Rainbow6FR  ça serais cool de faire gagner plus de points a celui qui carry l'équipe quand il gagne / lui en faire perdre moins si il perd [LIEN]",Thu Oct 10 01:05:12 +0000 2019,Zargunn,1079133611960471553,0,0
1182077473971933184,"je rattrape  une  partie  de  #R6PL  sur  le  youtube  de  @Rainbow6FR 
Il  n'est jamais  trop  tard !",Wed Oct 09 23:36:46 +0000 2019,level-doppe,2548864875,0,0
1182017866763264001,"Ma premiere video #RainbowSixSiege @Rainbow6FR  et sortie 

[LIEN]

@remi210002 @Structure_Netra @Nairodbiza",Wed Oct 09 19:39:54 +0000 2019,al electro tv,1091463552098013184,0,0
1182012485697757186,"Bonjour la communauté @Rainbow6FR depuis la mise à jour patch (PC) d'hier, vous constatez pas des lags et la sensation de ""ca prend rien !""",Wed Oct 09 19:18:31 +0000 2019,Tchekeur,893967417902235649,0,0
1181992013379579904,"Recrutement🤝

Nous rouvrons temporairement les recrutements pour rechercher un coach @Rainbow6FR👌

Si vous répondez aux critères suivant, venez discuter en DM👇
- Motivé, sérieux et disponible
- Ambitieux et fort de proposition
- Objectif CL

On attend vos messages💪

#MLTKWIN [LIEN]",Wed Oct 09 17:57:10 +0000 2019,Metaleak #AtlanticLAN,3708105495,13,11
1181964979710435330,"[R6S]
Ce soir scrim pour notre équipe 
@Rainbow6FR
 A 20h30, ils affrontent l'équipe germano-britannique 
@CrypticCrows Good Luck à eux.
Pas de live de prévu, peut-être un live-tweet.

#GravirEnsemble [LIEN]",Wed Oct 09 16:09:45 +0000 2019,IceRoc GaminG 🏔️🇨🇵💪,1167352376807886849,1,0
1181939043795439616,Svp @Rainbow6FR corrigez le bug qui fait que rejoins une classé en cours amors que je n’y ai jamais jouer,Wed Oct 09 14:26:42 +0000 2019,Yoann Leroy,1022539388960628736,0,0
1181906324222828544,Maintenance @Rainbow6FR ?,Wed Oct 09 12:16:41 +0000 2019,FREEZZIX 💸🔪🃏🇧🇪,3297639028,0,0
1181884635132911616,Les serveurs de R6 sont HS ? @Rainbow6FR @UbisoftSupport,Wed Oct 09 10:50:30 +0000 2019,William 'AstraL' .R,4867012965,0,0
1181882540933693441,"Bonjour @Rainbow6FR j’ai trouvé un bug hier sur la map oregon. Quand on détruit le partie droite du mur séparant la chambre d’enfant et le bomb site, un dessins reste accroché dans le vide (bloque le passage et impossible de tirer à travers) j’ai eu ce bug dans 2 games différente [LIEN]",Wed Oct 09 10:42:10 +0000 2019,la chancla del risitas issou,785721512158490624,2,2
1181692919591428096,"Bonjour @UbisoftFR @Rainbow6FR 
Petit Clip bien sympathique, pourriez-vous remédier à ce problème s'il vous plaît ? Ce SpawnKill devient de plus en plus récurent... [LIEN]

@VibracyT  Merci d'être là😘",Tue Oct 08 22:08:41 +0000 2019,BlastSnip,3082122262,9,5
1181626285111554048,"Nous recherchons 3 joueurs :    
- Niveau Plat 3 mini 
- 18 ans mini  
- Présent souvent la semaine nous établirons un planning
- Présent le week end aussi pour tournoi etc.. Lannable bien sur. Plus d'info en Dm

@R6esports_FR 
@Rainbow6FR",Tue Oct 08 17:43:54 +0000 2019,TrinityMajorGroup,1178753776397832192,0,4
1181608264154386432,"Revenons sur la nouveauté de l'année dernière. 👀

Le tournoi @Rainbow6FR n'est pas passé inaperçu lors de cette #LES2019, encore bravo à @TeamVitality pour leur victoire. 👏

Merci une nouvelle fois aux étudiants de @B_Passante @UJML 🎥
[LIEN]",Tue Oct 08 16:32:18 +0000 2019,Lyon e-Sport,515300669,19,5
1181560482567774209,"Il vous reste encore quelques minutes pour record une game  que j'analyse en A2V (console acceptées). 

Si vous souhaitez vraiment progresser sur @Rainbow6FR 

C'est l'moment. [LIEN]",Tue Oct 08 13:22:26 +0000 2019,Sixquatre,792044345780297728,46,5
1181344011027730432,"Des gens sur @Rainbow6FR qui en ont marrent de tomber en soloQ avec des premades qui lache 0 infos ou des membres du toxicgang ? Sa vous dit pas on joue ensemble ??
Uplay: NeRiiOo",Mon Oct 07 23:02:15 +0000 2019,NeRiiOo,938932251617882119,0,0
