id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184449209082220545,"#ForumAsso
🔴En direct de la conf ""Quand évaluation rime avec association""
✔Avec
Elodie Charmat @restosducoeur
Pascale Vincent #CIEDEL
Claire de Sousa Reis @Etudiantset
Romain Demissy #Atemis
@FredPfrunder
✔Animée par @marionboinot
✔Organisée par @lemouvementasso et @Asso_Gouv [LIEN]",Wed Oct 16 12:41:12 +0000 2019,Le Mouvement asso,210531834,7,1
1184438500525039616,"#ForumAsso Début de la conférence  ""quand évaluation rime avec association"" organisée par @lemouvementasso  animée  par @marionboinot avec le soutien de la DJEPVA. Merci aux intervenants @restosducoeur #CIEDEL #Atemis @EtudiantsetD @FredPfrunder [LIEN]",Wed Oct 16 11:58:38 +0000 2019,Lucie Suchet,842351816465608704,6,1
1184412828419186688,"[RDV 18H20]
A l'ordre du jour : ""Manger local, projet social?""
Ce soir, @EmmanuelLauren2 reçoit @GillesFumey
de @Sorbonne_Univ_, Flaminia Paddeu @Flaminiapad co-fondatrice de @revue_urbanites, Yuna Chiffoleau de @Inra_France et Yves Merillon des @restosducoeur sur @franceculture [LIEN]",Wed Oct 16 10:16:38 +0000 2019,Le temps du débat,356820490,20,17
1184398329339351040,Sensibilisation à la lutte contre le #GaspillageAlimentaire #loiGarot avec le partenariat d’@AUCHAN_France à Epagny et @restosducoeur [LIEN],Wed Oct 16 09:19:01 +0000 2019,Chadia Limam,3222361780,0,0
1184384671062331394,"J-2 avant l'ouverture de la billetterie pour le spectacle des @enfoires au profit des @restosducoeur🧡
D'ici là, attendez-vous à de nombreuses surprises pour leurs 30 ans qui auront lieu cet hiver. Soyez alertes 🚨
Plus d'infos👉 [LIEN]
#solidarite [LIEN]",Wed Oct 16 08:24:45 +0000 2019,Loisirs Enchères,2992502859,1,0
1184371505997766657,"Cross du collège @LannesMarechal pour les @restosducoeur bravo!
@MBlugeon @EpsToulouse @actoulouse @LeGers32 @delaunay_benoit [LIEN]",Wed Oct 16 07:32:26 +0000 2019,Unss Gers,748568974842077184,7,2
1184323403240673280,"Partager sans modération , Le Mans une ville créative sur l’anti-gaspi bravo à ⁦@Malte_France⁩ ⁦@restosducoeur⁩ @UDIHR_Officiel⁩ ⁦@RESTAU_CO⁩  ⁦⁦@Min_Agriculture⁩ ⁦@CNA_Alim⁩ ⁦@guillaumegarot⁩ ⁦@sookies_fr⁩  [LIEN]",Wed Oct 16 04:21:17 +0000 2019,Didier Girard,3844968315,2,3
1184276601137258497,"1789:
_ Si le peuple n'a plus de pain qu'il mange de la brioche !

2019:
_ Si le peuple a faim qu'il aille aux @restosducoeur !

#FinDuGame",Wed Oct 16 01:15:19 +0000 2019,RamosTeam1,1415169361,0,1
1184237548673077249,"🇫🇷🎸🎼 #CarlaBruni était conviée par #MarieAgnesGillot à @LaSeineMusicale pour «Danse-la, Chante là» un concert au profit des @restosducoeur 💗 #Paris [LIEN]",Tue Oct 15 22:40:08 +0000 2019,CARLA BRUNI m'a dit,1603988436,34,9
1184101051022098432,"13 à table  ❤️📘🍽️💙depuis 6 ans les auteurs sont solidaires des Restos du cœur  
Pour venir en aide à l’association montée par Coluche en 1985 @Pocket_Editions offre un ouvrage inédit à paraître 7/11 vendu 5 € reversés aux @restosducoeur 
[LIEN] via @actualitte",Tue Oct 15 13:37:44 +0000 2019,DominiqueSudre,2330345568,0,0
1184080689026797569,"[#campusdays]
Bravo encore à nos apprentis pour leur aide aux bénévoles à la distribution alimentaire aux @restosducoeur 🤝💕#apprentis #engagés [LIEN]",Tue Oct 15 12:16:50 +0000 2019,CFA CAMPUS MONTSOURIS,1129038165153656832,0,0
1184046501644947456,"IDEAS évolue, pour mieux mettre en valeur #associations #fondations ayant obtenu le Label comme @AVSF_ONG @AssoSPARADRAP @assogfaop @BSF_Inter  @CoupDePouceAsso @HKIEurope @restosducoeur @NGOSolthis @ImagineforMargo @enfantsdasie @Enfantsdumek @chainedelespoir .. [LIEN]",Tue Oct 15 10:00:59 +0000 2019,IDEAS,153780702,6,5
1184041066162458624,Je vais prendre 15kg à force de manger tellement je m'ennuie putain. J'crois je vais faire du bénévolat au @restosducoeur ou une autre assoc' jusqu'à que je trouve un taf.,Tue Oct 15 09:39:23 +0000 2019,XII.,993069943242547200,2,0
1184021128211320832,Merci pour le magnifique concert d’hier soir ! @restosducoeur @maggillot 🤩 [LIEN],Tue Oct 15 08:20:09 +0000 2019,La Seine Musicale,776451721459593216,20,7
1184009125614764032,"• Une soirée pleine de poésie @laseinemusicale •

Merci pour ce moment d’évasion marieagnesgillot @PublicistsThe et aux artistes présents pour @restosducoeur : @amel_bent jeniferofficiel ( Mourir dans tes yeux en… [LIEN]",Tue Oct 15 07:32:28 +0000 2019,Karima Charni,20627530,34,10
1184006345802031104,Merci @maggillot pour cette belle soirée...merci @cwillem le bonheur de te retrouver 💕💕bravo à tous les artistes..pour les @restosducoeur [LIEN],Tue Oct 15 07:21:25 +0000 2019,Tatinou 84240,993237893975105538,6,1
1183867877859975170,Entendre @JeniferOfficiel chanter « Mourir dans tes yeux » en live pour la soirée de Marie-Agnes Gillot au profit des @restosducoeur 💕,Mon Oct 14 22:11:11 +0000 2019,Jérémy Parayre,17462705,81,14
1183855881236156416,Ce soir mélange d'émotions à @LaSeineMusicale au profit des @restosducoeur  merci @maggillot et merci @cwillem pour ces magnifiques interprétations #Jacquesadit #Sunny #Lechagrin [LIEN],Mon Oct 14 21:23:31 +0000 2019,KarIne [avec un K],217058491,18,4
1183851850463895552,"Découvrez un extrait de la performance de @JeniferOfficiel sur « Les choses simples » lors du concert caritatif au profit des @restosducoeur ce soir à @LaSeineMusicale 🥰

Merci @Marine_brc pour la vidéo ! [LIEN]",Mon Oct 14 21:07:30 +0000 2019,#OnOublieLeReste ⚡️,601341815,93,23
1183848820725161984,"Découvrez un extrait de la performance de @JeniferOfficiel sur « Mourir dans tes yeux » lors du concert caritatif au profit des @restosducoeur ce soir à @LaSeineMusicale 🥰

Merci @Marine_brc pour la vidéo ! [LIEN]",Mon Oct 14 20:55:28 +0000 2019,#OnOublieLeReste ⚡️,601341815,139,33
1183842139572260865,".@JeniferOfficiel a opté pour un costume à paillettes à l’occasion du concert au profit des @restosducoeur, ce soir à @LaSeineMusicale ✨ [LIEN]",Mon Oct 14 20:28:55 +0000 2019,#OnOublieLeReste ⚡️,601341815,55,16
1183813647312789504,"✨«  A travers nos chansons, nous sommes en quelque sorte des conteurs ... »  et même un peu plus @cwillem   Quelques émotions pour présenter cette soirée à @LaSeineMusicale initiée par @maggillot au profit des @restosducoeur [LIEN]",Mon Oct 14 18:35:42 +0000 2019,Le Forum de Christophe Willem,247201774,41,17
1183810497864441856,"✨Un bel écrin que cette salle de la @LaSeineMusicale pour symboliser l’énergie, la rigueur mais surtout la joie de vivre 😉. Allez tous en scène avec @maggillot et ses amis @JeniferOfficiel @amel_bent @carlabruni @cwillem @Slimaneoff @JoeyStarr et @DANI__official @restosducoeur [LIEN]",Mon Oct 14 18:23:11 +0000 2019,Le Forum de Christophe Willem,247201774,17,3
1183802492729081857,"🔴 INFO

Ce lundi soir, dans le cadre du concert au profit des @restosducoeur à @LaSeineMusicale, @JeniferOfficiel chantera trois chansons, à savoir « Je danse », « Les choses simples » et « Mourir dans tes yeux ». [LIEN]",Mon Oct 14 17:51:22 +0000 2019,#OnOublieLeReste ⚡️,601341815,81,24
1183778999551627266,C’est déjà le crépuscule sur @Ville_BoulogneB mais les étoiles ne vont plus tarder à se montrer pr cette magnifique soirée de gala à @LaSeineMusicale imaginée par @maggillot au profit ce soir pr les @restosducoeur avec @JeniferOfficiel @amel_bent @carlabruni @cwillem @Slimaneoff [LIEN],Mon Oct 14 16:18:01 +0000 2019,Le Forum de Christophe Willem,247201774,22,8
1183735484759105544,2h de spectacle pour une soirée en faveur des @restosducoeur ce soir Marie Agnès gillot invite @JoeyStarr @carlabruni @amel_bent @cwillem @Slimaneoff @JeniferOfficiel #Dani [LIEN],Mon Oct 14 13:25:06 +0000 2019,geny.d 🌏💉,403559129,0,0
1183721932572766208,"Retrouvez les responsables des associations @restosducoeur, @lemouvementasso et @EtudiantsetD sur une de nos conférences au #ForumAsso ce mercredi à Paris

Conférence : Quand évaluation rime avec association...👇
[LIEN]",Mon Oct 14 12:31:15 +0000 2019,Forum National des Associations & Fondations,1861054466,4,4
