id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183326276595130368,une de plus qui va tweeter à propos de @LesSims 😭🥵 [LIEN],Sun Oct 13 10:19:04 +0000 2019,jadee🤬🎮,1183321024370266112,0,0
1183090599370678272,"Après avoir perdu son emploi 👔 le Pr Spelette cherche un job ou des humains à analyser 🌡️ sur @LesSims ! C'est tout de suite maintenant sur [LIEN] 💉💊

#Stream #Twitch #Sims4  #DéguisementDuGrenier [LIEN]",Sat Oct 12 18:42:34 +0000 2019,🌶️Spelette,1102840782933975042,3,1
1183031413148409856,"En LIVE sur Twitch pour le retour du châtal sombre !
Construction Live sur @LesSims 4
=&gt; [LIEN] [LIEN]",Sat Oct 12 14:47:23 +0000 2019,✨agentshirley🐲🔥✨,1002615327660871682,2,0
1183016820162416641,"En live sur @LesSims ! Bientôt le fin du LP Monde Magique !
Viens !
#sims #mondemagique #gaming 

[LIEN]",Sat Oct 12 13:49:23 +0000 2019,Alyx,1033432495348441089,1,1
1182989946501681157,Une nouvelle vidéo build sur les @LesSims ! Notre Kadra a enfin sa maison ! [LIEN] [LIEN],Sat Oct 12 12:02:36 +0000 2019,CatoC's Kingdoms,3296422467,1,0
1182926261024444416,#Sims4 @LesSims a quand les fenêtres sur les toits ?,Sat Oct 12 07:49:32 +0000 2019,Matou 🐱,860772242648686597,0,0
1182923045792604161,Depuis la dernière maj sur mon Mac je ne peux plus lancer @LesSims. Si quelqu’un a une idée pour résoudre ce problème je suis preneuse... #Sims4,Sat Oct 12 07:36:46 +0000 2019,🌺☀️,582574031,0,0
1182767122650402817,"Moi dans les @LesSims, attendre qu'un sim gagne au loto, le faire rejoindre mon foyer, le tuer.",Fri Oct 11 21:17:11 +0000 2019,A~F,1048499329198174209,4,0
1182385719626649605,"Regulus apprend à nouveau que la magie, c'est dangereux et la petite Dayna grandit bien vite.

Épisode 226 du Challenge Apocalypse ! 

@LesSims @YouTube #LetsPlay #TheSims #ChallengeApocalypse

C'est par ici 📺 : [LIEN] [LIEN]",Thu Oct 10 20:01:37 +0000 2019,Missing / Patrice,77448190,3,1
1182383601205288960,"Le générateur sous forme de test de personnalité pour créer un sim m’a call out d’une violence inégalée, remboursez-moi @LesSims s’il vous plaît. [LIEN]",Thu Oct 10 19:53:12 +0000 2019,𝖆rt𝖆bl𝖊x 🕯,48960821,2,0
1182188788191318016,"Mod intéressant. 
Dites @LesSims , cela ne vous donne pas des idées de pack ? 😇 [LIEN]",Thu Oct 10 06:59:05 +0000 2019,Agathe La Sorcière 🦉🕷🔥,3429954442,6,0
1182035062562476032,"Les fans des #Sims sont géniaux ! 😍
Pensée à la gagnante par e-mail du jeu-concours que j'ai organisé dernièrement et qui pour me remercier a fait cette petite BD-Sims... 👌😘
@LesSims #TheSims4 #Sims4 [LIEN]",Wed Oct 09 20:48:14 +0000 2019,Fezet,390918220,30,3
1182022041643442178,Mélanger la musique de @LesSims et @LMP_M6 il n’y a que @M6 pour faire ça 😂 #jeuxvideo #Patisserie,Wed Oct 09 19:56:30 +0000 2019,Laura 📚,1018908534891778051,0,0
1181999837035814913,"Bonjour @LesSims
Pouvez vous fournir le catalogue des mots interdits dans les biographies s'il vous plaît ? Parce qu'à chaque fois on met des heures à trouver le mot qui ne convient pas pour le supprimer... Merci !",Wed Oct 09 18:28:16 +0000 2019,Aman Dhin,842790933821358080,0,0
1181996823130578945,"J'ai uplaodé mes meilleures maisons et mes meilleurs persos sur la galerie @LesSims, allez voir, mon pseudo : ZeloCha 😘",Wed Oct 09 18:16:17 +0000 2019,Alice freaking Pan,828624247723540481,1,0
1181896109758783488,Je sais pas quoi constuire dans @LesSims 😭 je veux faire un resto à thème aidez moi:,Wed Oct 09 11:36:05 +0000 2019,rizzo 🏴‍☠️,466482558,0,0
1181871052743495681,"Est-ce que quelqu’un sait pourquoi j’arrive pas à utiliser le code « bb.showliveeditobjects » dans @LesSims ? 

J’essaye depuis hier, impossible..",Wed Oct 09 09:56:31 +0000 2019,So’ ◟̽◞̽,1078003387864698881,0,0
1181865846488129536,"Infernal ce que les Sims de la gallérie se ressemblent... je suis nulle en création en général du coup je suis allée fouiller mais bon... dites @LesSims ça serait chouette de montrer des Sims originaux aussi, comme les créations de bâtiments :) des bisous !",Wed Oct 09 09:35:50 +0000 2019,Aspeda,488747525,16,0
1181679148823121927,"Depuis la maj Catalina, @LesSims ne fonctionnent plus, ça s’arrête au bout de 3/4 minutes de jeu. Ça freeze. Au revoir les heures passées dessus... :(",Tue Oct 08 21:13:58 +0000 2019,Laura ☾,948650245,0,0
1181642835046612994,Vous savez pourquoi ma sims fait ça comme lumière c’est pas très beau @LesSims [LIEN],Tue Oct 08 18:49:40 +0000 2019,arthur,2441411112,8,0
1181642070311739392,"Nouvelle maison ! :) [NoCC]
👉[LIEN]
#ShowUsYourBuilds #TheSims4  @LesSims @TheSims 
Plus de photos&gt; [LIEN] [LIEN]",Tue Oct 08 18:46:38 +0000 2019,Simsmily,1012239987629264896,24,4
1181598669696634880,"Bon quand le temps est pourri (vent+pluie) on s'éclate avec les couleurs (Rouge+Bleu) dans @LesSims  @TheSims  petite construction, hâte de l'avancer également. 
J'oublie pas mon château !!! 
#TheSims4  #TheSims #LesSims4 #LesSims #BuildSims [LIEN]",Tue Oct 08 15:54:10 +0000 2019,Magdalena,1021471536421711872,4,1
