id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184516507784617985,"#INFO || La pré-ecoute du nouveau single de Louis aura lieu à Paris le 21 octobre. Il y aura 4 gagnants, chaques gagnants aura la possibilité d’amener quelqu’un avec lui ! (@SonyMusicFr @SMART_SonyMusic )",Wed Oct 16 17:08:37 +0000 2019,Louis Tomlinson FR,3027231650,14,11
1184500625687662592,"Ceux qui veulent une listening party du nouveau single de Louis en France, montrez vous sous ce tweet pour montrer à quel point on l’aime ici et encourager Sony à faire l’événement en France. Go ! 

@SMART_SonyMusic @sonymusicfr @LTHQOfficial @Louis_Tomlinson",Wed Oct 16 16:05:30 +0000 2019,Louis Team France [#Walls],920635610523754496,37,26
1184455806571425792,On attend la même chose chez nous @SonyMusicFr [LIEN],Wed Oct 16 13:07:25 +0000 2019,Louis Tomlinson France,887405032341196801,4,0
1184455609732780032,"« En équilibre », le nouveau clip de SÜEÜR [LIEN]  @rcagroup",Wed Oct 16 13:06:38 +0000 2019,JustMusic.fr,454154236,0,0
1184455199475322881,A quand la même chez nous @SMART_SonyMusic @SonyMusicFr ?👀 [LIEN],Wed Oct 16 13:05:00 +0000 2019,Louis Team France [#Walls],920635610523754496,33,13
1184411768069730306,"Big Up à @SonyMusicFr qui a retiré le blocus sur Beethoven, ils ont été très humain &lt;3 
Faudra que j'fasse attention par la suite, la musique classique est soumise aux droits d'auteur par l'interprétation. 
Big up à @mvoinchet @LolaDubini pour leur held
[LIEN]",Wed Oct 16 10:12:25 +0000 2019,Avner Peres,1009551278,151,14
1184379335467159552,Quelles musiques dans les films sortis le 16 octobre 2019 ? • #langlemort #PatrickMarioBernard @AssociationACID #RougeDistribution @HeitorPereira_ #HeitorPereira @SonyMstrworksFR #AngryBirdsMovie2 #AngryBirds @AngryBirds #Maléfique2 @GeoffZanelli… [LIEN] [LIEN],Wed Oct 16 08:03:32 +0000 2019,Cinezik,44470169,0,0
1184218761571774467,Checkez-donc notre label musical. @SonyMusicFr et @UMusicFrance en sueur. [LIEN],Tue Oct 15 21:25:29 +0000 2019,Mais qu'est-ce qui SPAZZ,1131579101876244482,0,0
1184157957380100096,"À l'occasion de la sortie du vinyle inspiré de la série #GoT, @SonyMusicFr m'offre 3 packs à vous faire gagner !

Pour tenter votre chance c'est très simple !

➡️Me suivre sur instagram @mathsefaitdesfilms 
➡️RT ce tweet

J'préviendrai en mp les gagnants jeudi ;) !
Good luck ! 🙌🏼 [LIEN]",Tue Oct 15 17:23:52 +0000 2019,MathSeFaitDesFilms,2524854372,265,454
1184152230078877699,"🔥 Nouveau concept avec #ÇaDitQuoi on met la lumière sur de jeunes artistes prêt à tout déchirer !

🎙️ Première interview avec Mous-K, rappeur de Corbeil-Essonnes qui a sorti la mixtape #LaQuicka

s/o @SonyMusicFr @RCAgroup  

[LIEN]",Tue Oct 15 17:01:06 +0000 2019,Hip Hop Corner,2784718670,2,0
