id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183757956296462337,"1 tirage, 16 possibilités pour @USAMNIMESGARD . Tirage au sort du 3e tour de la Coupe d’Europe EHF ce mardi à partir de 11 heures #Nîmes 🤾🏻‍♂️ Matches les 16-17 et 23-24 novembre [LIEN]",Mon Oct 14 14:54:24 +0000 2019,Eric Delanzy,504672652,6,2
1183756635656900609,"Alain Aubard, le président du @LimogesHand87, est l'invité de LHandCo pour une itw '' Moi Président ''. Il parlera de son calme légendaire, de tournée générale, de plâtre posé par un gynéco, de prime si montée en @LidlStarligue...

Jeudi à 19 h sur @lepopulaire_fr

#handball [LIEN]",Mon Oct 14 14:49:09 +0000 2019,Xavier Georges,382756385,7,2
1183632844440117248,"Le TOP3️⃣ de #TimeSport du week-end 
52eme match sans défaite à courbertin du @psghand 🤾‍♂️
Record du kenyan Eliud Kipochage 
Réveil du @stadefrancais contre Toulon (33-30) 🏈
Qu’en pensez-vous 🤔 ?",Mon Oct 14 06:37:15 +0000 2019,Time Sport,1005077772874780674,0,1
1183498746241437696,Qu'importe le discours... #psgcel @psghand @Co_Ultras_Paris [LIEN],Sun Oct 13 21:44:24 +0000 2019,Wissam961. - 🇱🇧,1054823458226520066,754,269
1183494954901000192,"17h : @psghand 
20h : Yass 
23h : mon reuf Erwin 

🥰🥰🥰🥰🥰 presk tout ce que j’aime en 1 journée",Sun Oct 13 21:29:20 +0000 2019,Nabil 75 🇱🇧,1054839701121761280,0,0
1183471861180567556,"Le @PSG_inside gagne la ligue des champions en foot cette année 
Le @psghand gagne la ligue des champions de hand cette année 

Retenez bien ce tweet",Sun Oct 13 19:57:34 +0000 2019,Arthur,1027683094504132614,2,1
1183424236091781121,"Dommage que @Gerard_Vincent n’ait pas terminé sur un « pastis » pour la 51ème victoire d’affilée du @psghand à #Coubertin toutes compétitions confondues. 😉 Bravo quand même, encore une belle victoire à savourer sans modération cet après-midi. 👏 #PSGCEL",Sun Oct 13 16:48:19 +0000 2019,Manu Roux,716469205,1,0
1183422132170252289,Une victoire pleine d'autorité et un carton plein des clubs de @LidlStarligue ce week-end ! [LIEN],Sun Oct 13 16:39:57 +0000 2019,Etienne Capon,145700923,3,0
1183421583110692864,Le @Co_Ultras_Paris ainsi que @le8emehomme à la hauteur du @psghand et Dieu sait que le #PSG a fait un match défensif hors norme #HandAction,Sun Oct 13 16:37:46 +0000 2019,camille⚽️🎾🔴🔵,2176206022,2,0
1183419311974690819,Fermer la baraque = @Gerard_Vincent @psghand #PSGCEL,Sun Oct 13 16:28:45 +0000 2019,DAF🐧 MDH🇱🇻 GPO🍺,592802910,1,0
1183411390784180225,#HandAction cette année les maillots du @psghand sont plus solides comme leur défense cette année,Sun Oct 13 15:57:16 +0000 2019,William Bourgeois,2177685025,1,0
1183406903499599873,"Le 1er but du jeune Ntanzi (à la 6e minute) a été attribué à... Adama Keita sur Ticker de l'@ehfcl 🙄
@FXHoulet @TomVillechaize @psghand [LIEN]",Sun Oct 13 15:39:27 +0000 2019,håndbol,857935809806311424,0,0
1183405437087031298,Faut avoir envie d’les crever @psghand on rate trop de tirs ça manque de détermination #HandAction [LIEN],Sun Oct 13 15:33:37 +0000 2019,Anne Batailler 🏳️‍🌈,2153019224,0,0
1183393356644278274,"Il a l’air frais Thomas @TomVillechaize après ses #20kmdeparis 🏃‍♂️😏et bravo pour le chrono 👏🏻👏🏻
Maintenant on finit bien ce dimanche par un petit #PSGCEL 👍🏻 allez @psghand sur @beinsports_FR 1️⃣ avec @FXHoulet #handaction",Sun Oct 13 14:45:37 +0000 2019,Sanshine 🌸,4394471429,2,0
1183314541280727040,Merci à @DucretRose capitaine du @bcspreze et @rockfeliho10 capitaine du @HBCNantes pour leurs échanges avec les jeunes capitaines des équipes de @stsebsurloire pour cette 1ère journée performance clubs [LIEN],Sun Oct 13 09:32:26 +0000 2019,Patrice Jean,2236149315,4,3
1183308051572494336,Henrik Toft Hansen absent avec le @psghand cet après midi face à Celje. Première apparition avec les A pour le jeune arrière gauche Louis Despreaux ! #ehfcl,Sun Oct 13 09:06:38 +0000 2019,Kevin Domas,1212502897,5,2
