id,text,data,user,user_id,favorite_cnt,retweet_cnt
1175779557909106688,Le reportage sur @TF1 la 😂,Sun Sep 22 14:31:06 +0000 2019,La Graphistance,436223298,0,0
1175777233031458821,Heureusement que j'ai enregistré #DALS 10 ans déjà. Franchement TF1 @TF1 vous avez eu un an pour préparer un résumé et vous n'êtes pas foutu de faire des nouvelles interviews alors que la majorité des gagnants passe régulièrement dans vos émissions. Et c'est quoi cette voix off?,Sun Sep 22 14:21:51 +0000 2019,Florence,457040496,0,0
1175775528214847490,En compagnie de Dany Boon nous parlerons du film Le Dindon de @JalilLespert ce soir au 20h avec @ACCoudray @TF1 Alors si jamais vous vous voulez en savoir plus... #ledindonlefilm #ledindon [LIEN],Sun Sep 22 14:15:05 +0000 2019,Guillaume Gallienne,809246011,3,1
1175773730645118976,Non sincèrement un grand Merci aux chaînes de @TF1 pour cette CDM de Rugby et à @canalplus pour la @premierleague et finir la journée en beauté avec la famille de @clique toute la semaine ! Franchement meilleurs habitudes pour une bonne année de fac 👊,Sun Sep 22 14:07:56 +0000 2019,Abbas Attar,1308627060,0,0
1175771944328880128,Je tire à #droite pour l' #ARG ! @TF1 #RWCTF1 🏉,Sun Sep 22 14:00:50 +0000 2019,francoise perone,1202254646,0,0
1175771731375484928,"Rendez-vous à partir de 18h10 sur @tf1Au Kenya, l'île #Miningo sur le lac Victoria est plus petite qu'un terrain de football. Dessus, 600 habitants vivant dans des conditions ubuesques.Un document choc dans #SeptÀHuit [LIEN]",Sun Sep 22 14:00:00 +0000 2019,Sept à Huit,2769703550,3,1
1175771322875547649,Diffusion ce soir à 21h05 sur @TF1 du film Sous le même toit de @farrugiadom avec @GillesLellouche et @loubourgoinoff [LIEN],Sun Sep 22 13:58:22 +0000 2019,Les Nuls,140579390,9,2
1175768946089353221,J'espere vraiment que cest des rumeurs l'élimination de #Paul et que Paul  détrone cet individu ! #Les12CoupsDeMidi @JL_Reichmann @TF1 @TF1Pro @EndemolShineFr,Sun Sep 22 13:48:56 +0000 2019,LE RETOUR GAGNANT DE JENIFER AVEC NOUVELLE PAGE,2264852490,1,1
1175768422216589312,"#DALS belle émission hier soir, y'a un niveau très intéressant, mais je suis à 200% pour @ClaraMOfficiel elle est sublime, j'espère qu'elle ira très loin @TF1",Sun Sep 22 13:46:51 +0000 2019,faure mickael,722515936218083328,0,0
1175767260109135875,Je tire à #gauche pour la #FRA ! @TF1 #RWCTF1 🏉,Sun Sep 22 13:42:14 +0000 2019,BINET,762672291650080768,0,0
