data,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Mon Sep 23 09:20:10 +0000 2019,3,1176063696524795904,,0,"@binou86 La première était énorme 😍
La suite s'annonce 🔥",TF1,103821088
Mon Sep 23 09:16:00 +0000 2019,1,1176062649429372928,,0,"@PhilippeHie1 Riche, variée et attrayante 😍, Vous savez parler à une chaîne 💘",TF1,103821088
Mon Sep 23 09:12:23 +0000 2019,2,1176061741140258816,,0,@patroche18 Avec un grand @KadMerad😍,TF1,103821088
Mon Sep 23 09:10:38 +0000 2019,1,1176061297139605504,,0,@CalypsoDuss 🌧➡📺(Sur TF1😄),TF1,103821088
Sat Sep 21 07:17:50 +0000 2019,0,1175308134207905793,,0,@SimonLu71771608 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏉 [LIEN],TF1,103821088
Sat Sep 21 07:15:41 +0000 2019,0,1175307594379988992,,0,"@gafisme Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Sat Sep 21 07:07:32 +0000 2019,0,1175305542782373889,,0,"@crosbynouche64 Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Sat Sep 21 07:05:45 +0000 2019,0,1175305094264512512,,0,@alexoupetit Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏉 [LIEN],TF1,103821088
Sat Sep 21 06:59:29 +0000 2019,0,1175303516757381122,,0,"@LoyeauLudovic Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Sat Sep 21 06:52:16 +0000 2019,2,1175301704025292801,,0,@LassJack Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏉 [LIEN],TF1,103821088
Sat Sep 21 06:24:50 +0000 2019,0,1175294797596286976,,0,"@lfjeux Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Sat Sep 21 06:11:55 +0000 2019,0,1175291548998787075,,0,@lorenp4 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Sat Sep 21 06:09:53 +0000 2019,0,1175291034814861313,,0,@gargouille24 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Sat Sep 21 06:06:56 +0000 2019,0,1175290295573000192,,0,@lorenp4 Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Sat Sep 21 06:02:13 +0000 2019,0,1175289107972526080,,0,@LDantesque C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Sat Sep 21 05:46:38 +0000 2019,0,1175285183953678337,,0,@RemiSallaberry Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Sat Sep 21 05:23:14 +0000 2019,0,1175279295704514560,,0,"@MesnardGilles Bien visé ! Votre tir rapporte des points à votre équipe favorite, vous êtes désormais qualifié pour le tirage au sort !  👏 [LIEN]",TF1,103821088
Sat Sep 21 05:15:08 +0000 2019,0,1175277256085778434,,0,"@Benjamin_Munegu Bien visé ! Votre tir rapporte des points à votre équipe favorite, vous êtes désormais qualifié pour le tirage au sort !  👏 [LIEN]",TF1,103821088
Sat Sep 21 04:52:09 +0000 2019,1,1175271473910550529,,0,@EnjoyParadiz Magnifique ! Votre essai est transformé ! Vous voilà en lice pour gagner le ballon officiel de la #RWC2019 !   👏 [LIEN],TF1,103821088
Sat Sep 21 03:20:18 +0000 2019,0,1175248357301899264,,0,@POMMIERXimena Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏉 [LIEN],TF1,103821088
Fri Sep 20 23:07:49 +0000 2019,0,1175184819917139969,,0,"@bernardlolo35 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Fri Sep 20 22:50:51 +0000 2019,1,1175180550564397056,,0,@bernardlolo35 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Fri Sep 20 22:49:37 +0000 2019,0,1175180238856306688,,0,"@kalyste34 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Fri Sep 20 22:49:09 +0000 2019,0,1175180121810116608,,0,"@alibaba2935 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Fri Sep 20 22:24:24 +0000 2019,0,1175173893004439552,,0,@jeromederemaux C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Fri Sep 20 22:21:15 +0000 2019,0,1175173100436164608,,0,@DECKDany C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Fri Sep 20 22:07:45 +0000 2019,0,1175169702898876417,,0,"@jur14769026 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Fri Sep 20 21:32:36 +0000 2019,1,1175160858877583361,,0,@NicoleKarman1 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Fri Sep 20 21:10:52 +0000 2019,0,1175155387294785536,,0,"@tabseur Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
