id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183345525996838912,Capucine @CapucineAnav est une raciste depuis des années on le sait avant ses dérapages avec le fils Sarkozy. @funradio_fr @EnColoc1 @TPMP vous n’avez pas honte de soutenir une raciste qui compare les cheveux crépus des personnes racisés au balai à chiotte [LIEN],Sun Oct 13 11:35:33 +0000 2019,Mel,1972837880,0,2
1183339021298262017,On comprend mieux l'erreur d'arrestation quand on voit le portrait robot de #DupontDeLigonnes envoyé par la France. @Cyrilhanouna prépare déjà le sketch sur le sujet pour @TPMP la grande rassrah. [LIEN],Sun Oct 13 11:09:42 +0000 2019,PapiCatch,67503472,0,0
1183337059068588033,"Coucou mon baba @Cyrilhanouna   ,   je te propose quelques thèmes à aborder dès lundi dans @TPMP ....
Tata journaliste du net pour baba et #TPMP     🦄 [LIEN]",Sun Oct 13 11:01:54 +0000 2019,T🅰️T🅰️ la D🅰️RK🅰️,1273135926,4,1
1183331917778882560,Remise d’une voiture électrique à l’hôpital d’Annecy @74_CHANGE  le 8 novembre prochain en présence de notre parrain @RGrosjean et de notre partenaire @RichardOrlinski @Annecy_Live @BFMTV @TF1LeJT @Qofficiel @TPMP @patrickchene,Sun Oct 13 10:41:29 +0000 2019,David Giovannetti,268981960,3,1
1183324091954159624,"Je ne retrouve pas mon tweet, alors je le refait. @sashaelbaz me manque dans @TPMP ! @Cyrilhanouna tu peux faire quelque chose pour moi ? #VivementLeRetourDeSasha",Sun Oct 13 10:10:23 +0000 2019,kevinlezazien,561162518,0,0
1183306182414471169,"Donc c’est ça vos chroniqueuses @TPMP ? Ce sont ce type de personne raciste, irrespectueuse que vous mettez devant une audience ? Qui compare des cheveux crépus à des « balais à chiottes ? » oui @CapucineAnav c’est indécent de faire ce genre de comparaison ! [LIEN]",Sun Oct 13 08:59:13 +0000 2019,▼ Memories ▼,304024072,12,19
1183185935887941632,"Info Le Parisien : ""Après avoir demandé ""Elle est où la moulaga ?"", Heuss l'enfoiré l'aurait enfin trouvée"" 😂😂😂😂 #TweetCommeCyril @Cyrilhanouna @TPMP",Sun Oct 13 01:01:24 +0000 2019,Lapinou,851158778905071616,0,0
1183179659778781184,"🤣😂 Rassures-toi @B_Castaldi ils ont juste pris l'avion 🛩️👨‍✈️ @skyline_airways 

Tu sais la super compagnie aérienne 🛩️👨‍✈️ que @MagaliBerdah @Shaunaevents a conseillé à @TPMP 🤣😂🛩️

🤣😂 Du coup #XavierDupontdeLigonnes a pas eu le menu coin coin 🦆🐤 [LIEN]",Sun Oct 13 00:36:27 +0000 2019,D.B.S.F,908777356793405442,14,4
1183153694247981056,"J'ai maté l'émission un peu et je trouve que c'est @Cyrilhanouna qui fait tout et qu'il n'a pratiquement pas besoin de ces chroniqueurs qui ne font que rigoler, même Baffie fait doublon avec le personnage de BABA,disons que ça ressemble à @TPMP sinon Cyril reste égal à lui-même. [LIEN]",Sat Oct 12 22:53:17 +0000 2019,Bob Faivre D'jo,979968968323723264,0,0
1183139338328170497,"Info le parisien:
@Cyrilhanouna serait en réalité...... @CamilleCombal... Il travaillerai de ce fait en sous marin pour TF1. info vérifiée par une source sûre. #TPMP
#cemondeestfou #infodeouf @TPMP",Sat Oct 12 21:56:14 +0000 2019,Tiger77,4738563681,0,0
