date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Sun Oct 13 11:33:48 +0000 2019,,1183345084286361601,1183335445591183360,,"@pascaledanvers Bonjour Pascale,

Au nom de Thalys, je vous présente mes sincères excuses pour ce retard dû à la panne d'un autre train entre Schiphol et Rotterdam.

Je reste naturellement disponible pour répondre à vos questions.

Merci pour votre compréhension,

Kate
[LIEN]",Thalys,1469819304
Thu Oct 10 14:34:13 +0000 2019,,1182303324743315456,1182226444904210438,,"@padallapria @ouisncf Bonjour Paul-Alex,

Je vous remercie de votre message et je regrette de voir que vous avez dû voyagez dans ces conditions désagréables.

Pourrais-je vous demander de me suivre et de m'envoyer votre référence de réservation en message privé s'il vous plait ?

Merci,
Patrice",Thalys,1469819304
Thu Oct 10 12:59:41 +0000 2019,,1182279535607341057,1182033176308391937,,"@joelfranka @thalys_be @SNCB_Int Bonjour Joel,

Si vous avez acheté votre billets sur l'app Thalys, [LIEN] ou [LIEN], vous pouvez échanger vos billets sur l'app Thalys.
Si vous avez réservé par un autre canal, l'échange se fait par le même canal.

Bien à vous,
Patrice",Thalys,1469819304
Thu Oct 10 06:56:01 +0000 2019,,1182188013276876801,1182187423767371777,,"@ad_687 Bonjour Ad, 
Pouvez-vous me communiquer votre référence de voyage PNR (six lettres) en DM, s'il vous plait?
Merci.
Diana
[LIEN]",Thalys,1469819304
Wed Oct 09 18:05:06 +0000 2019,,1181994007242645505,1181966040177229824,,"@ZeHiroFr Bonjour Antoine B.,

Notre Thalys 9470 est retardé en raison de la panne d'un autre train sur la même ligne. Nous vous présentons nos sincères excuses pour les désagréments rencontrés.

Merci pour votre compréhension,

Kate",Thalys,1469819304
Wed Oct 09 15:39:49 +0000 2019,,1181957447243706374,1181939512831860741,,"@kevlegalicien_ @Visual_By_Jo @AvisAiles Bon voyage, Kev' 😊
L'équipe Thalys",Thalys,1469819304
Tue Oct 08 17:45:21 +0000 2019,,1181626648002748416,1181620744561860608,,"@thibaultjacobs Bonjour Thibault, 
Je suis vraiment navrée pour le désagrément. 
La disponibilité du service WiFi est sujette aux conditions techniques du jour. Les défaillances de connectivité que vous pourriez rencontrer sont liées aux zones moins bien couvertes par les réseaux 3G et 4G.
1/2",Thalys,1469819304
Tue Oct 08 13:59:13 +0000 2019,,1181569742911483905,1181567372479651840,,"@NiVueeNiConnuee Bonjour, 
Je suis vraiment navrée pour cette situation. 
Pourriez-vous me donner votre code de réservation en dm ? 
Merci 
Valia
[LIEN]",Thalys,1469819304
Tue Oct 08 05:56:11 +0000 2019,,1181448181772673025,1181256488192528384,,"@20CENTRetail Bonjour Vincent,

Nous vous présentons nos excuses pour les désagréments rencontrés. N'hésitez bien sûr pas à revenir vers nous pour toute question.

Bonne journée et à bientôt,

Kate
[LIEN]",Thalys,1469819304
Mon Oct 07 14:33:21 +0000 2019,,1181215945483804673,1181206243517575169,,"@Yves946778 Bonjour Yves, 
Je suis sincèrement navrée pour les désagréments. 
Pourriez-vous me donner vos informations de voyage en dm je vous prie ? 
Valia
[LIEN]",Thalys,1469819304
Sat Oct 05 13:56:54 +0000 2019,,1180481995333394432,1180478894580912129,,"@Skyzox Bonjour skyzox,

Merci pour votre message.

Si aucun billet n'a été émis, votre compte ne sera pas bien sûr pas débité 😉 Pouvez-vous m'envoyer votre adresse e-mail en mp, s'il vous plait ? Je vais vérifier ça.

A votre disposition,

Kate
[LIEN]",Thalys,1469819304
Sat Oct 05 09:44:56 +0000 2019,,1180418584062943232,1180418319490457607,,"@Ivy_Pearson Bonjour, 
Peut-être pouvez-vous faire part de votre inconfort au personnel de bord? 
Diana",Thalys,1469819304
Sat Oct 05 09:32:06 +0000 2019,,1180415356118208512,1180411775700914177,,"@FredTridon Bonjour Fred,  suite à un vôl de cable, le traffic ets perturbé. Les bus vont bientôt arrivés. (6) Nous chargerons d'abord les clients du 9403 Ensuite nous combleront les places restantes avec quelques clients du 9413. Nous nous excusons pour ce désagrément. 
Ann",Thalys,1469819304
