id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183321018158534656,Bonjour @TopAchat j'ai commander une RTX 2070 et je voulais savoir quand j'allais recevoir COD MW ? Par mail ou dans la boite de livraison :) Cordialement,Sun Oct 13 09:58:10 +0000 2019,MSR TChypSs,956281066448449536,0,0
1183188575036289029,Bonsoir @TopAchat moyen de passer en privé ?,Sun Oct 13 01:11:53 +0000 2019,nilley.,1155574911433359362,0,0
1183162327316729856,"Ma config [LIEN] #ConfigoMatic via @TopAchat
dites moi si elle est bien pour les fps etc, svp.",Sat Oct 12 23:27:35 +0000 2019,NecTo,718382763913711617,0,0
1183159000566829057,"Ya qui pour me faire une config ultra bonne avec 800€
@TopAchat",Sat Oct 12 23:14:22 +0000 2019,Zelty💫,1156224462624362497,1,1
1183154509784276992,Bonjour @TopAchat j'aimerais m'acheté une nouvelle carte graphique (une 2060 super ) mais je ne sais pas vraiment quelle marque prendre. Aurez vous une marque a me conseiller ?,Sat Oct 12 22:56:31 +0000 2019,XeNoS,1049631793941569536,0,2
1183152643444805633,Coucou @TopAchat je souhaite une config pour un budget d'environ 1.5k€ Pouvez-vous m'aider ? Ma seul condition serait PAS de processeur AMD. Merci beaucoup 😎🙆‍♂️,Sat Oct 12 22:49:06 +0000 2019,BRASBRASOMAX,333266521,0,0
1183146337367482373,"Merci @TopAchat de monter un pc à 1764 euros avec les pieds et qu'il soit mort après 1 jour, au top !",Sat Oct 12 22:24:03 +0000 2019,Louning,2842557400,1,0
1183145183040475137,Salut @TopAchat  !  Il y a un #codepromo pour une commande à 3K  ? :),Sat Oct 12 22:19:28 +0000 2019,cl,1182954308175831040,0,0
1183132487796572167,"Salut @TopAchat. Bien ?

Je me suis fait une grosse config. Mon banquier a déjà essayer de me joindre 6 foix. Je peux pas attendre le BlackFriday, Possible de faire un petit geste ? Des bisous.  #codepromo 
[LIEN]",Sat Oct 12 21:29:01 +0000 2019,Antho 🔴⚫️ CyprienGangGang,1048722067,1,1
1183102135204040704,"Bonsoir @TopAchat, vos docks de disques durs servent à quoi ?",Sat Oct 12 19:28:24 +0000 2019,Nathan 🍄,1000278897110462464,1,0
1183101609842282503,Un code de réduction pour cette souris ? @TopAchat [LIEN],Sat Oct 12 19:26:19 +0000 2019,eM Vulcops,4143200992,0,0
1183100487018729473,Bon alors sa fricote entre @LDLC et @TopAchat ? 😏😏😅 #Hum #Seduction [LIEN],Sat Oct 12 19:21:51 +0000 2019,JΞЯΞΠΨ,591331116,1,0
1183096764334821379,Yo @TopAchat c'est possible d'avoir un code promo pour une config à plus de 1000e svp ?,Sat Oct 12 19:07:04 +0000 2019,Adrien,843412938748841984,1,0
1183087883638497281,Jviens d’acheter mon pc à 1000€ sur @TopAchat. Je l’aurais Mardi normalement pour full train pendant mes vacs @LNV_esport @Stxnsy @BatoBkl Grave motivé là tout comme toi @FoX_Tvfra quand t’as eu ltien 😜,Sat Oct 12 18:31:46 +0000 2019,Sayze,1126772623239569408,0,0
