id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184523282919415809,"Point presse sur la lutte contre le #GaspillageAlimentaire à l'#EPHAD Trois Rivières du @CCASdeTours, un des 5 sites pilotes en @RCValdeLoire. Une équipe motivée, engagée depuis 3 ans dans cette démarche !
#Tours @villedetours @ch_bouchet @Eqosphere @unccas [LIEN]",Wed Oct 16 17:35:32 +0000 2019,Marion Nicolay Cabanne,936583763366211584,0,1
1184491019699662850,"Quelques photos du parcours Européen de l'#ASPOTOURS en 76
En photo
14-Bowen, 4-Reynolds, 8-Bellot,15-Dewitt
#lanneedubasket76
@ToursBasketUTBM, @Basket_Retro, @BFRetro, @villedetours, @FicellePodcast, @LNBofficiel [LIEN]",Wed Oct 16 15:27:20 +0000 2019,YaLiStSo,929281947473506305,6,3
1184461491639992326,"[Hockey-sur-glace féminin🏒] Samedi, à la #PatinoireFrançoisLeComte, les girls  de @VilledEvryCourc affronteront #Tours, championne de France🇫🇷en titre👉[LIEN] @HCEvryViry @villedetours @rempartstours #GrandParisSud [LIEN]",Wed Oct 16 13:30:00 +0000 2019,Grand Paris Sud,4172359605,4,2
1184451226777329664,"EXTRÊMEMENT RARE Médaille Exposition nationale de Tours 1892
#Tours #numismatics #numismatique #coin #monnaie @radiotour_fr @villedetours @MonnaieDeParis @cgbfr @Numisma2 @FBTouraine 

[LIEN]",Wed Oct 16 12:49:13 +0000 2019,Martin Glasgow,934800213977509888,2,3
1184448665022279680,"Exposition photographique - Une année au Pigeonnier
Villa Rabelais
@rdvhistoire @UnivTours @rdvhistoire @IEHCA_Network @villedetours [LIEN]",Wed Oct 16 12:39:02 +0000 2019,IEHCA,3833081357,0,3
1184354629859102721,Encore un beau projet de quartier autour de l’année Balzac #Balzactours @villedetours @ch_bouchet [LIEN],Wed Oct 16 06:25:22 +0000 2019,Jerome Tebaldi,743106085343612930,6,1
1184221940191502336,Quelqu'un de @villedetours va au concert le 16 novembre ? #cemondeestcruel,Tue Oct 15 21:38:06 +0000 2019,MaybeorNot,2393071243,1,0
1184187924570615808,"Ça approche !!!
Ça bouge dans l'IT à la @villedetours 😉

#Docker
#Kubernetes [LIEN]",Tue Oct 15 19:22:57 +0000 2019,wilda,41596284,1,1
1184179653168291840,"Justine Cunha, dessinatrice de ""Dans les yeux de Lya"", @EditionsDupuis, prix Tour d'Ivoire des Mômes 2019, sera présente dans le cadre de la Quinzaine du Livre Jeunesse, samedi 19 octobre de 14h00 à 17h30, Hôtel de @villedetours, pour des dédicaces.
#BD #TIDM2019 #justinecunha [LIEN]",Tue Oct 15 18:50:04 +0000 2019,A Tours de Bulles,973836361651441664,0,0
1184141884098256896,"Ah donc chez moi c'est Rouen version pisse.. Sympa ça

@villedetours je contact qui dans ce cas là ? [LIEN]",Tue Oct 15 16:20:00 +0000 2019,Tim,830577725828104192,5,0
