date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Mon Oct 14 15:14:34 +0000 2019,,1183763029999210498,1.1836843427002696e+18,,@LIGNEJ_SNCF 👋 Info de dernière minute  : le Tchat travaux prévu ce soir est reporté à vendredi. On vous annonce très vite à quelle heure on se retrouve !,Ligne L SNCF,957284190
Mon Oct 14 13:19:38 +0000 2019,,1183734105176973312,1.1837334663593083e+18,,"@mcflorian95 Bonjour, pouvez-vous me dire dans quel train vous êtes s'il vous plait ?",Ligne J SNCF,479585003
Mon Oct 14 07:09:26 +0000 2019,,1183640942236057600,1.1836402130773484e+18,,"@Avming2 Bonjour, je vous invite à vous rapprocher d'un agent en gare. Vous pourrez sinon obtenir un bulletin de retard via ce site à partir de demain matin &gt; [LIEN]",Ligne J SNCF,479585003
Mon Oct 14 06:32:47 +0000 2019,,1183631719196479488,1.1836302981494784e+18,,"@Steftweet78130 Bonjour Stef ! Votre train est parti en retard suite au retard de son trajet précédent (présence de fumeurs à bord), a pu rattraper son retard et en a repris en route pour des raisons d'espacement avec le train devant lui.",Ligne J SNCF,479585003
Mon Oct 14 05:39:59 +0000 2019,,1183618430735470592,1.183615312291385e+18,,"@Otakdeslettres Bonjour, j'essaie d'identifier votre train pour savoir quel était le problème, je ne vois pas de départ prévu à 7h02 à Paris pour une arrivée à 7h24 à Conflans, êtes vous sûr qu'il s'agit bien de cette heure là ?",Ligne J SNCF,479585003
Mon Oct 14 04:27:16 +0000 2019,,1183600130697650177,1.183490784118657e+18,,"@T_Calais Bonjour, vous pouvez retrouver toutes les fiches horaires de la #LigneH via ce lien : [LIEN]. Par ailleurs, le 19 la circulation sera interrompue entre Paris et Ermont/Sarcelles St-Brice à cause de travaux. Des bus de substitution seront mis en place.",Ligne H SNCF,944023014
Mon Oct 14 04:26:35 +0000 2019,,1183599961004544001,1.183599133631943e+18,,@RomainC10 Bonne journée Obélix ! 👋,Ligne P SNCF,808490005
Sun Oct 13 18:06:03 +0000 2019,,1183443800359866370,1.1834350858964378e+18,,"@LaSof11 Bonjour, de quel train voulez-vous parler svp ?",Ligne R SNCF,945419450
Sat Oct 12 13:13:41 +0000 2019,,1183007835229184003,1.1830026106698916e+18,,"@Michokapik @Actu_Transilien Bonjour, pourriez-vous m'indiquer les horaires de votre trajet. Des perturbations sont prévues demain sur votre axe. Voici la fiche info [LIEN]",Ligne H SNCF,944023014
Fri Oct 11 19:03:50 +0000 2019,,1182733565534130177,1.1827328990172856e+18,,"@ecumenika Bonsoir, je transmets votre signalement.",Ligne L SNCF,957284190
Fri Oct 11 17:18:47 +0000 2019,,1182707129100197889,1.1827067704369193e+18,,"@ManonDadou Bonjour, en raison d'une préparation tardive, votre train #GAMO est toujours à quai.",Ligne R SNCF,945419450
Fri Oct 11 12:48:14 +0000 2019,,1182639039968677893,1.1825482633141166e+18,,"@c_vaur78260 Bonjour, c'est Anne. Merci pour eux ! Nous avons prévenu les équipes sur place qui vont s'occuper du problème. Tout avait été nettoyé pour leur arrivée, malheureusement les incivilités persistent... 🙄",Ligne L SNCF,957284190
Fri Oct 11 12:14:39 +0000 2019,,1182630590593544192,1.18262894176231e+18,,"@CV75000 @SNCF Bonjour ! Je vous remercie pour votre signalement, je vais le remonter. Le souci ne semble pas apparaître sur le site depuis un ordinateur, merci donc pour les captures !",Ligne J SNCF,479585003
Fri Oct 11 10:13:07 +0000 2019,,1182600006240555008,1.1825982484160594e+18,,"@fredericln @VilleArgenteuil Bonjour, nos équipes sont avisées.",Ligne J SNCF,479585003
Fri Oct 11 08:08:59 +0000 2019,,1182568764161875968,1.1825677807695053e+18,,"@Abooobab Bonjour Aba, à bord de quel train étiez-vous et à quelle heure avez-vous effectué ce train ? Afin que je puisse vous renseigner au mieux car nous n'avons pas eu de trains circulant avec un retard comme vous l'indiquez ce matin.",Ligne R SNCF,945419450
Fri Oct 11 07:29:04 +0000 2019,,1182558720619962368,1.1825566736527237e+18,,"@CyrillusF Bonjour, je transmets votre message. Le système de clim réversible fonctionne avec un capteur de température programmé. Si vous avez trop froid, essayez de trouver une place qui ne se trouve pas près des fenêtres. (Je sais que cela n'est pas toujours possible...).",Ligne L SNCF,957284190
Fri Oct 11 07:02:09 +0000 2019,,1182551944818298883,1.1825482633141166e+18,,"@c_vaur78260 Bonjour Camille, merci pour votre signalement. Je transmets votre message. Je vous souhaite une agréable journée.",Ligne L SNCF,957284190
Fri Oct 11 06:54:30 +0000 2019,,1182550021234933760,1.1825473447404872e+18,,@Jonamaths @LIGNEL_sncf @Plusdetrains Bonjour la couleur définit la zone d'embarquement. Quand il n'y pas d'horaire c'est qu'il n'y a pas de train. La destination reste affichée car certains trains desservent ces villes à certains horaires.,Ligne J SNCF,479585003
Fri Oct 11 06:31:26 +0000 2019,,1182544215429013504,1.1825288662518702e+18,,"@eric_p_92 @Plusdetrains RE bonjour, vous pouvez utiliser l'onglet ""Gares et arrêts"". Il est mis à jour en temps réel.",Ligne L SNCF,957284190
Fri Oct 11 05:35:16 +0000 2019,,1182530079966060544,1.1825288662518702e+18,,"@eric_p_92 @Plusdetrains Bonjour, en effet le train de 7h57 n'est pas affiché sur l'application. Je fais remonter votre signalement. Je vous remercie et vous souhaite une agréable journée.",Ligne L SNCF,957284190
Thu Oct 10 18:07:27 +0000 2019,,1182356987574738952,1.1823539536038912e+18,,"@BIdf78 Bonsoir, je vous remercie de votre signalement, je le transmets aux équipes concernées.",Ligne L SNCF,957284190
Thu Oct 10 17:45:00 +0000 2019,,1182351335917805568,1.1823495626289723e+18,,"@RobespierreClub Bonjour ! Les horaires ont en l'occurrence été affichés de manière théorique. Le train de 19h03 étant passé avec 3 minutes de retard, c'est le suivant qui a été automatiquement affiché. Je fais remonter votre signalement à ce sujet.",Ligne J SNCF,479585003
Thu Oct 10 17:20:25 +0000 2019,,1182345151789883394,1.182344356365255e+18,,"@cobni897 @LIGNEL_sncf @SNCF @GroupeSNCF @Ville_Asnieres Bonjour, je suis désolée de cette situation, je transmets votre signalement à ce sujet.",Ligne J SNCF,479585003
Thu Oct 10 17:16:19 +0000 2019,,1182344120959950851,1.182340491167359e+18,,"@WashiLePanda Bonsoir, pouvez-vous m'indiquez de quelle rame il s'agit, je me renseigne.",Ligne R SNCF,945419450
Thu Oct 10 16:23:03 +0000 2019,,1182330713959522306,1.182329453076271e+18,,"@JennMilan Bonjour, je me renseigne.",Ligne J SNCF,479585003
Thu Oct 10 13:02:06 +0000 2019,,1182280144993603585,1.1819727101901332e+18,,@SophieMsncf @SecteurAsnieres @Plusdetrains Merci Sophie pour cette belle photo ! 😍 N'hésitez pas à utiliser le #maligneLenphoto pour vos prochaines photos 📸😄,Ligne L SNCF,957284190
