id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183199122658091008,📢 Je suis en 🔴 LIVE sur #GrandTheftAutoV !  [LIEN] #wizebot #twitch @TwitchStreameur @RTtwitchFR @TwitchFR @stream__twitch,Sun Oct 13 01:53:48 +0000 2019,Sauzoxx,833118813315014657,1,0
1183108014057889797,📣 Je démarre un LIVE sur #Fortnite ! [LIEN] @PetitsStreams @MyStreamee @TwitchFR @Stream_Francais @RTtwitchFR,Sat Oct 12 19:51:46 +0000 2019,Venum_TV_,771330282096037888,0,1
1183096995432546304,Toujours pas les emotes ........ ( @TwitchFR @TwitchSupport ) Mais on continu l'aventure MC (modde).  [LIEN],Sat Oct 12 19:07:59 +0000 2019,Smokky,816207208941780992,0,0
1183060074358554629,"Toujours en attente de validation des émotes twitch, deux essais pour 3-4 semaines d'attentes cumulés...
Ca commence à faire chier la..
@TwitchFR une petite réponse ça serais sympa🙁",Sat Oct 12 16:41:16 +0000 2019,Dreekks,1108729848850276352,0,0
1183056038670540800,Faut ban ça @TwitchFR 😂 [LIEN],Sat Oct 12 16:25:14 +0000 2019,nabs🅙,1088142234661371904,0,0
1183005404760031235,J'veux pas faire ma raclette @TwitchFR mais j'aimerais bien pouvoir modifier ou supprimer des panneaux sur ma chaine sauf que j'ai pas le bouton pour valider les modifications quand je passe en mode édition :/ Une solution ? [LIEN],Sat Oct 12 13:04:02 +0000 2019,FuriousSo6,1024020019464888320,0,0
1182984281951494144,"[LIEN]

Chaîne Familiale est arrivé en cours de construction sur @TwitchFR allez jetez un oeil si vous voulez bien !!",Sat Oct 12 11:40:06 +0000 2019,Magic Manu,712197893873147905,0,0
1182980688905158656,"Merci à tout ceux qui me soutiennent, le cap des 200 et des 1000 vues viennent d'être passé, tout ça c'est grâce à VOUS 🙇🏻

Vous êtes les meilleurs l'élite ❤

@PlayApexFRA #ApexLegends #twitch @TwitchFR [LIEN]",Sat Oct 12 11:25:49 +0000 2019,Naysen Anju,1002595912961658881,4,2
1182974138484441088,objectif récupérer le camion :) @GhostRecon_FR  @TwitchFR @Twitch [LIEN],Sat Oct 12 10:59:47 +0000 2019,zifax,3622360221,0,0
1182928891746377729,"On lance ce beau samedi avec @Isillys_CDTV , du jazz très smooth et de la ... ranked #LeagueOfLegends !

[LIEN]

@LoL_France @Stream_Francais @RtCocorico @RT4French @PetitsStreams @TwitchFR #Lol [LIEN]",Sat Oct 12 08:00:00 +0000 2019,Cooldown,2362642026,1,2
1182815090518704128,"J'ai pu tester #twitch studio beta ce soir, ba c'est pas mal, j'ai pas encore tout essayé, mais c'est fluide, clair, y a des scènes pré-faites qu'on peut personnaliser, à voir dans le temps ce que ça vaut vraiment mais pour le moment je valide ! @TwitchFR",Sat Oct 12 00:27:47 +0000 2019,Vinz,830751151,0,1
1182799786266812416,Les amis suite à notre live déjanté sur @TwitchFR j'ai donc acheté une sonde pour calibrer mon écran: [LIEN] Ouf ! Le tout pour moins de 30 euros :),Fri Oct 11 23:26:59 +0000 2019,Beautés en herbe,43510588,4,0
1182763232290885632,Ya pas moyen d'enlever le fondateur aux mecs plus sub depuis longtemps et de le transférer au suivant ? Je suis pas loin chez Xari wolla @TwitchFR @Twitch,Fri Oct 11 21:01:43 +0000 2019,FaridDeLaMorlette,361845968,0,0
1182737329217265664,"#Hearthstone @hearthstone_fr @TwitchFR Bonsoir, je suis nouveau sur twitch et je recherche un Overlays sur le thème hearthstone mais impossible de trouver,si une personne peu m'aider sa serai génial !!

Merci d'avance.",Fri Oct 11 19:18:48 +0000 2019,Jrm26Gaming,2806985128,1,0
1182728091682115585,Quand meme @TwitchFR te rappel que t'es vieux... va falloir faire tourner les Subs cc @CinderysCosplay @Lady_Callixta @InhaeeT @vanorachina @Sneaky_Mom_ @HDreamtv @Naho_May @Nemitaii @Varanielle [LIEN],Fri Oct 11 18:42:05 +0000 2019,Sebi,339982771,15,1
1182703828082274304,Go soirée twitch @TwitchFR @Gotaga @GotagaTV #GotagaOnTOUR [LIEN],Fri Oct 11 17:05:40 +0000 2019,🅰️u®️eldu1⃣4⃣➖,551259949,1,0
1182700918460030977,"#Trump se lance sur @TwitchFR, hâte de le voir dans la prochaine édition du #ZEvent ! @tpdach @ZeratoRSC2",Fri Oct 11 16:54:07 +0000 2019,Max,250632154,0,0
1182695779263303680,Le Million de vues ce soir et champagne ? (en vrai j'ai aucune idée de ce que ca représente les vues de @TwitchFR mais j'aime bien le champagne donc...) [LIEN],Fri Oct 11 16:33:41 +0000 2019,Icekei,271632620,13,0
1182655161199673344,"Hello all ! Y a pas moyen de savoir qui a eu nos Badge de Fondateur sur @TwitchFR ?
Car la plupart des gens subs qui venaient au tout début de ma chaîne ne sont évidemment plus là avec la pause sans stream de quasi un an que j'ai eu.

Mais les ""premiers subs actuels"" du coup ? 🤔",Fri Oct 11 13:52:17 +0000 2019,HelƶbaK® 🇫🇷🇬🇧 #PGW2019 J-17,780091458300809217,3,0
1182620991127785472,"Quand on est obligé de faire nous même des retouches de code pour pouvoir avoir accès aux boutons sur firefox et chrome pour twitch et les panneaux ! Sinon ils apparaissent plus bas et du coup reste cachés pour valider la modification.
#twitch #panneaux @Twitch @TwitchFR 
Agi' [LIEN]",Fri Oct 11 11:36:30 +0000 2019,Dreamschannel,383664349,0,1
1182578643748491265,"Matinal ce matin pour tryhard cette nouvelle saison 😍😍
@PlayApexFR @PlayApexFRA
@TwitterGaming @TwitchSIE
@TwitchFR #Apex
[LIEN]",Fri Oct 11 08:48:14 +0000 2019,iPolaakTV / Adoniis,1046765167311294464,2,2
1182562638850646016,En vrai j'hésite à déserter @TwitchFR dont la refonte est dégueulasse au possible pour retenter @WatchMixer ou tester @YouTubeGaming vu que les replays de découvertes avec eux sont pas chiantes à gérer contrairement à Twitch où je galère à chaque fois à faire ce que je veux... [LIEN],Fri Oct 11 07:44:38 +0000 2019,Buddakhiin #BoycottBlizzard,399000146,0,0
1182559159201488896,J’etait le 4 eme sub de @nayteFN pourquoi je ne reçois pas de badge ? @TwitchFR,Fri Oct 11 07:30:49 +0000 2019,Noviax.,2494623246,0,0
1182423996412891139,Ptdr c'est donc ça les mecs qui achètent des vues sur twitch pour promote leurs liens d'affiliation casino @TwitchFR (CasiniaSlotsO) [LIEN],Thu Oct 10 22:33:43 +0000 2019,Nathan,712424781530976256,0,0
1182362838662373376,"Bonsoir , est ce que quelqu'un sait ce que signifie le badge "" fondateur "" sur @TwitchFR ( le 1st ) Merci :3 #twitch",Thu Oct 10 18:30:42 +0000 2019,PoussinRouge🐤,832942747761967105,0,1
1182359130398437383,"C'est parti pour un petit live sur [LIEN]

@PetitsStreams @Stream_fr @Stream_Francais @TwitchFR",Thu Oct 10 18:15:58 +0000 2019,Supain Shanku,1060909374405795841,0,1
1182295665570992128,"lui film sur Twitch et ne se fait pas Ban ? @Jirayalecochon pour avoir lui son chat en ""voiture autonome"" s'est fait ban direct  ! @Twitch on m'explique ?? @TwitchFR [LIEN]",Thu Oct 10 14:03:47 +0000 2019,AllForOne,827287852316778496,0,1
1182295020075925504,"Nous avons le plaisir de vous annoncer la création d'une émission mensuelle sur @TwitchFR avec @JeanChristopheK à la baguette ! 📺

Nous sommes heureux de revenir sur Twitch avec des émissions de façon régulière ! 

Plus d'informations à venir dans les jours qui suivent 😏 [LIEN]",Thu Oct 10 14:01:13 +0000 2019,Connectesport,2971689262,16,3
1182268310869680133,"On est en passe d'être affilié @TwitchFR ! J'vous raconte pas la pression du coup ! 
Les bonnes nouvelles s'enchaîne et on vous réserve une grosse surprise pour demain !
Venez nous follow sur Twitch !

[LIEN] 

#stream #surprise #affiliate #affilie [LIEN]",Thu Oct 10 12:15:05 +0000 2019,Fred et Emy,1055202452931309568,2,1
1182229712254439425,"Salut @TwitchFR, votre app là, inexistance de convivialité mise à part, on fait comment pour voir ses MPs ?",Thu Oct 10 09:41:42 +0000 2019,Anaximore,709317381001224193,3,1
1182214843107041281,"Bonjour @TwitchSupport &amp; @TwitchFR !

Pourquoi ? Ce sera ""remplacer"" par quoi ? Parce que c'est un peu vague là ! Parce que le salon des modérateurs, c'est utile ! [LIEN]",Thu Oct 10 08:42:37 +0000 2019,Lix (Quentin),3051609786,2,0
1182176441452154880,Sympa le nouveau gestionnaire de stream @TwitchFR. sur une tablette c'est parfait [LIEN],Thu Oct 10 06:10:02 +0000 2019,Dickfreddy,203218841,0,0
1182062456950145024,"UNE GAME PRESQUE PARFAITE ! TFT Challenge ! [LIEN] via 
@YouTube @TFT @combattactique  @TwitchFR",Wed Oct 09 22:37:06 +0000 2019,Wonessa,1035438491860123648,0,0
1181991905225318400,"Je vous Spoil un morceau de ma nouvelle création MAPPING sur @_FiveM , @FiveMFrance @RockstarGames @TwitchPrime @YouTube @TwitchFR 😛 [LIEN]",Wed Oct 09 17:56:45 +0000 2019,🤷🏽‍♂️,843201680799928324,1,0
1181972630154469376,J'adore la nouvelle interface @TwitchFR hâte de la tester en LIVE demain ! Merci de faire évoluer l'outils j’espère encore des surprises bientôt ! #Stream #Twitch [LIEN],Wed Oct 09 16:40:09 +0000 2019,🌶️Spelette,1102840782933975042,1,1
