id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183378856654331904,"La communauté s'agrandit de jour en jour, merci à vous tous de me suivre au quotidien et merci aux nouveaux abonnés sur mon compte @TwitterFrance ! 

@myciircleapp @LeJok_ @LydiaFrieda @Black_Digitalfr 

#Merci #ThankYou #mycmmag #web #MarketingDigital #follower #Twitter [LIEN]",Sun Oct 13 13:48:00 +0000 2019,My CM Mag,214964848,9,4
1183350276666920961,bon @TwitterFrance supprimer le compte de @abv2v il n'est plus de ce monde! par respect pour lui et sa famille supprimer le!!,Sun Oct 13 11:54:26 +0000 2019,💁🏻💃🏻,1129493840338063362,1,0
1183347213352755202,Dis @TwitterFrance tu vas un jour faire le ménage avec tous ces faux comptes qui ressemblent plus à de la prostitution qu'à autre chose😠😠😠 C/@EnsembleEMacron @AssembleeNat @Senat @cedric_o @gouvernementFR @justice_gouv @Egal_FH @MarleneSchiappa [LIEN],Sun Oct 13 11:42:15 +0000 2019,JB Gaillot-Renucci 🏛️,305537470,11,3
1183341712040706050,"Cette présumée affaire #DeLigonnes a eu un mérite certain. Celui de nous ramener au @TwitterFrance de 2011 qui était drôle et léger et bien moins marqué que celui d'aujourd'hui, avec ses attaques gratuites et autres dénonciations, souvent avec un courage anonyme. Signe des temps. [LIEN]",Sun Oct 13 11:20:24 +0000 2019,CARRIERE Jérôme,596612407,1,0
1183332961149706246,Dites @TwitterFrance vous avez pas autre chose à foutre sérieux que de me faire passer des tests anti-robots ? Bande branques. [LIEN],Sun Oct 13 10:45:37 +0000 2019,Géo 🍋,281806852,11,0
1183328756921982976,Trois fois en 1 mois que mon compte se fait restreindre wsh @TwitterFrance VOUS CHERCHEZ QUOI ?,Sun Oct 13 10:28:55 +0000 2019,𝖘𝖆𝖒𝖘𝖎𝖇𝖔,2752926466,0,0
1183326341787213829,"En quoi le voile d’une femme accompagnant son fils à une sortie scolaire ressemble à une bombe ? Rabaisser une femme de cette manière devant son fils, c’est courageux. @TwitterFrance pas d’incitation à la haine là ? Sautez le. [LIEN]",Sun Oct 13 10:19:19 +0000 2019,Alloun 1 9 7 0,1076337548,0,0
1183325362832498690,"Bonjour, @TwitterFrance Pouvez-vous suspendre ce compte merci [LIEN]",Sun Oct 13 10:15:26 +0000 2019,Monsieur Marvyn 25 🙏🏾,1247461388,0,0
1183322713991069696,"T1-131019 @jourduseigneur  
Je reprends ma numérotation manuelle (absence d'incrémentation automatique sur @TwitterFrance ) pour prouver la suppression IMMEDIATE, à peine envoyé, de  tweets critiquant cette émission islamo-collabo qui n'a de pitié que pour les loups comme ERDOGAN",Sun Oct 13 10:04:54 +0000 2019,Véronique HURTADO,2809908003,3,1
1183317492502020097,"Bonjour @TwitterFrance ! J'ai fait un rêve... que mon fil d'actu soit rempli de nouvelles sur la situation en #Equateur ... visiblement ça ne sera pas pour aujourd'hui ! #pasunmot #EcuadorEnCrisis #EcuadorSOS 
@BFMTV @TF1 @FRANCE24 @Francetele @M6 @ARTEfr [LIEN]",Sun Oct 13 09:44:09 +0000 2019,Jean-Amaury Meyer,107420733,3,3
1183317202612707328,"Vous aimez bien les nouvelles fonctionnalités de @Twitter et @TwitterFrance ? Perso, je trouve sa cool un peu de changement ! 😁",Sun Oct 13 09:43:00 +0000 2019,Wistis,1181906755548262404,1,0
1183314415803875328,"Signalement à @TwitterFrance : usurpation de mon identité par @UMontpellierain
À mes followers, merci de signaler ce faux compte. [LIEN]",Sun Oct 13 09:31:56 +0000 2019,Saurel Philippe ⭐️⭐️,1475519760,29,41
1183307656401956864,"Alors la je comprend plus rien 🤬😠
Pk @TwitterFrance ou même @Twitter tout court vous bannissez des potos avec un humour qui dérange a apparemment, alors que elle ce compte en bois d'arbres réapparaît ? Enfin bref c'est dimanche 👊🏻 [LIEN]",Sun Oct 13 09:05:04 +0000 2019,𝕽𝖔 𝕷'𝕻𝖍𝖔𝖈𝖊𝖊𝖓,4883925671,11,0
1183306266858479616,Donnez 20 caractères de plus svp @TwitterFrance,Sun Oct 13 08:59:33 +0000 2019,Psychotrap ☁️,1083148750598615052,0,0
1183306175409995776,"Au nom de nos principes d’habitant de la terre et des habitant de Twitter , j’ai demander à @TwitterFrance de faire enlever son compte Twitter d’un homme assez idiot pour humilier une femme pour ses vêtements.Après des milliers d’années de civilisation on ne peut tolérer cet acte [LIEN]",Sun Oct 13 08:59:11 +0000 2019,Seralloween 🌸,3336573173,2,0
1183305764124921857,"- des donc papa ça fait deux jours que tu as rien écrit sur moi sur @TwitterFrance 
- parceque tu n’as rien dit qui le mérite 
- ah ....bon je vais me coucher 
- hein ??? je croyais que tu venais de te réveiller 
- et ben voilà tu as quelque chose à écrire 
#FaitesDesGosses",Sun Oct 13 08:57:33 +0000 2019,Julien Courbet 🇫🇷⭐️⭐️,828931483,916,48
