id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183327044261863430,"@grabuelBonjour, je me permets de prendre contact avec vous car votre service client est incompétent et ne comprends rien à une demande simple.
Je viens de prendre un abonnement @SFR, @NetflixFR, qui n'ai pas compatible avec la box évolution,avez vous une solution.@UFCquechoisir",Sun Oct 13 10:22:07 +0000 2019,Sebastien Kergourlay,890170027936292864,0,0
1183280124407537664,Arnaques à la rénovation énergétique – La DGCCRF s’attaque aux… [LIEN] via @UFCquechoisir,Sun Oct 13 07:15:40 +0000 2019,WENINGER,4641381377,0,0
1183109521318780936,Quand avant d’emménager ton technicien @SFR te dit que tout est OK sans avoir vu ton matériel et que quand tu emménage rien de marche et que la seule solution du service client est de payer une intervention 120€ #Cimerlarnaque #adeuxdoigtsderesilier @UFCquechoisir @60millions,Sat Oct 12 19:57:45 +0000 2019,Julaïe,58245919,0,0
1183087247261876224,"Hé @chronodrive vous mettez cette image pour les huiles, mais la Fruit d'or n'est pas dispo au chronodrive de Bondues... Et ne l'a jamais été. Vous me faites perdre du temps à chaque fois. @dgccrf @UFCquechoisir [LIEN]",Sat Oct 12 18:29:15 +0000 2019,Thomas Price,365910580,0,0
1183086496301092869,Dites @geant_casino vous savez que votre offre n’est pas honnête ? #venteforcee @UFCquechoisir car nulle part vous mentionnez que le bon d’achat offert n’est valable qu’a partir... de 120€ d’achat ! C’est plutot bien joué @60millions [LIEN],Sat Oct 12 18:26:16 +0000 2019,Guillaume Tardieu,2419470883,2,1
1183072115739840512,"La loi #alimentation est ""un échec"", dénoncent l'@UFCquechoisir et la @ConfPaysanne .
[LIEN]",Sat Oct 12 17:29:07 +0000 2019,DEROOSE Jacques,2173469161,0,0
1183071055184846848,"La #loi #Alimentation est un échec, dénoncent l'@UFCquechoisir et la @ConfPaysanne  [LIEN] via @franceinfo",Sat Oct 12 17:24:54 +0000 2019,Cristina Thevenot,2806767541,0,0
1183060070134927360,Chauffage [LIEN] via @UFCquechoisir,Sat Oct 12 16:41:15 +0000 2019,Patricita ♦️,523200780,0,0
1183049935006117890,"Réservation effectuée le 10/10 chez 
@lastminute_fr
@bravofly_fr
pour un séjour: paiement effectué,pas de confirmation, aucune réponse précise du #serviceclient (call center) qui dit d’abord qu’on me contactera sous 24h, puis 72h max. 
#dgccrf @UFCquechoisir",Sat Oct 12 16:00:59 +0000 2019,ARN76,558341903,0,0
1183030813526581248,TVA sur les taxes – Stop à la double-peine fiscale ! [LIEN] via @UFCquechoisir,Sat Oct 12 14:45:00 +0000 2019,Gerbe Jean-Philippe,189879669,0,0
1183027798362988544,Dites @Darty_Officiel comment on resilie l'abonnement Darty+ ? cc @UFCquechoisir,Sat Oct 12 14:33:01 +0000 2019,Sébastien,15941986,0,0
1183015991812472834,TVA sur les taxes – Stop à la double-peine fiscale ! [LIEN] via @UFCquechoisir,Sat Oct 12 13:46:06 +0000 2019,Praitano,991542830,0,0
1182989792461688832,La loi #alimentation est un fiasco de #lrem . Augmentation des prix au profit des distributeurs. #agriculture @UFCquechoisir @LCI [LIEN],Sat Oct 12 12:02:00 +0000 2019,Benjamin Cauchy,1064804128285708288,85,70
1182976915151511554,Au fait @UFCquechoisir et @dgccrf [LIEN],Sat Oct 12 11:10:49 +0000 2019,The Leader,476279822,0,0
