id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184084674299256832,"#EstherDuflo, membre du #CSEN Conseil scientifique de l'@EducationFrance, avait donné une belle conférence au Congrès mondial que nous avons organisé à l'@UNESCO_fr le 28 mars dernier.
Ad Augusta per Angusta 🙏
 Cf. @StanDehaene
[LIEN]",Tue Oct 15 12:32:40 +0000 2019,Nelson Vallejo-Gomez,1277200513,0,0
1184050703725223936,"Classé avec sa baie, il y a 40 ans cette année, Patrimoine mondial de l' @UNESCO_fr, on en est assez fiers, en effet.❤️ #MontSaintMichel #Normandie @MancheTourisme @leCMN [LIEN]",Tue Oct 15 10:17:41 +0000 2019,Céline Chevé,2494906194,3,0
1184048940406038529,"Marie Christine Gries De La Barbelais, @soroptimist International,
membre du Comité de liaison des ONG, en partenariat avec @UNESCO_fr fait le point sur la protection des #femmes sur le plan international

#conference  @cdad56 @ONUFemmes  #Vannes #droit  #femmes #international [LIEN]",Tue Oct 15 10:10:40 +0000 2019,CDAD56,800675157362626561,0,0
1184040090072502272,"#Cohésionsociale / Les élèves du collège de Luynes, vainqueurs en collectif de Slam à l'école 2019 slament sur la grande scène de l'@UNESCO pour la journée internationale de la fille devant les délégations du monde entier
#slamalecole #slam #eac #gogirls #DayoftheGirl [LIEN]",Tue Oct 15 09:35:30 +0000 2019,CultureEtDiversité,1469411323,1,0
1184032919540699137,"À l’occasion des 150 ans du tableau périodique des éléments, le @Mineralotech de l'École vous présente l'Opale !
©Vidéo réalisée par Laurent Kariv et diffusée par L'école des arts joailliers
 #IYPT2019 @PSLExplore @psl_univ @UNESCO_fr @iypt2019 [LIEN]",Tue Oct 15 09:07:00 +0000 2019,MINES ParisTech I PSL,68965556,5,0
1183963256127442944,"#DDRDay
Les catastrophes naturelles affectent non seulement l'environnement et les populations mais aussi le Patrimoine et l'économie tout entière. 
Guides gratuits de l'@UNESCO sur la gestion des catastrophes natutelles et le Patrimoine ⤵️
[LIEN] [LIEN]",Tue Oct 15 04:30:11 +0000 2019,Bouclier bleu France,738320312836718592,1,1
1183808584242683906,Ça va encore durer longtemps ces inepties @UNESCO_fr ?!!! [LIEN],Mon Oct 14 18:15:35 +0000 2019,chantalrebelle2,746364883046928384,0,0
1183804889144713217,"A ECOUTER / #Neis a participé à l'événement ""La Fille de la photo organisé par@MaisonDelaBible. Elle est aussi allée à l' @UNESCO. Merci Néis ! #slam [LIEN] [LIEN]",Mon Oct 14 18:00:54 +0000 2019,JPC France,173995246,0,0
1183783025219379201,"👩🏻‍⚕️ #FWIS #WomenInSTEM
La chercheuse guadeloupéenne Lyza Hery reçoit le «Prix Jeune Talent 🇫🇷 @LOreal-@Unesco pr les #Femmes &amp; la #Science» v/@RCI_GP
👁‍🗨 28 % de femmes chercheurs mais 90 % des postes clés ds la recherche sont occupés par des hommes. #EgalFH
[LIEN] [LIEN]",Mon Oct 14 16:34:01 +0000 2019,Sandrine Fouillé ♤ #4PositiveFutures,93604422,15,10
1183770471692734464,"Pour ""ne pas heurter certaines sensibilités"", l'@UNESCO a caché les sexes de deux statues de l'artiste invité Stéphane Simon.🙄
#Tartuffes
[LIEN]",Mon Oct 14 15:44:08 +0000 2019,Galahad Alfred,389316531,1,0
1183764186477805571,Poursuivre les coupes forestières à #Anticosti équivaut à couper l’herbe sous les pieds de tous ceux qui travaillent depuis des années pour inscrire l’île comme patrimoine naturel de l’Humanité à l’@UNESCO --dont les habitants en premier lieu. [LIEN],Mon Oct 14 15:19:09 +0000 2019,FondationDavidSuzuki,337953457,6,2
1183743761395765249,APPEL - @info_radical et @UNESCO sont à la recherche de [LIEN] qui souhaitent participer à un atelier de trois jours pour mieux mobiliser les acteurs de leur communauté et réaliser des actes de bonté qui auront un impact durable! Détails: [LIEN],Mon Oct 14 13:58:00 +0000 2019,Forum jeunesse de Mtl,216361876,1,1
1183738467014119424,"En septembre un docteur en philosophie s’est immolé par le feu pour défendre la langue oudmourte. Selon un rapport de l’@UNESCO la Russie compte une centaine de #langues en voie d’extinction, faute d’enseignement. 14 on disparu en 60 ans @_zerez_ [LIEN]",Mon Oct 14 13:36:57 +0000 2019,DULALA,538040459,0,0
1183725945557078016,"#Montpellier -  En direct à 16 h 30 : deux montpelliéraines lauréates du Prix jeunes Talents France 2019 @lorealparisfr - @UNESCO_fr
 [LIEN]",Mon Oct 14 12:47:12 +0000 2019,Midi Libre Montpellier,1150559449,0,0
1183707102424027136,"🤔 L'Unesco et les cache-sexes ""Si sa directrice générale était informée de cette censure, c'est accablant. Si elle ne l'était pas, cela l'est aussi "". [LIEN] #SophieCoignard par @LePoint cc @UNESCO_fr",Mon Oct 14 11:32:20 +0000 2019,tatiana f salomon 🌍,14482175,0,0
1183705515890827264,"Très déçu de la démonstration de @ChristinekellyE que j'adorais. Inviter Zemmour sur @CNEWS est-ce renforcer l'influence intellectuelle et programmatique de la France a @UNESCO ??? Si Goebbels était vivant, vous l'auriez aussi inviter pour la liberté d'expression ???",Mon Oct 14 11:26:01 +0000 2019,Heraud Jean-Michel,1057262039998062592,0,0
1183698062906155009,La fondation l'Oréal récompense des jeunes iséroises [LIEN] via @lessor38  @LOreal-@UNESCO #fondation #scientifique #lauréat,Mon Oct 14 10:56:24 +0000 2019,lessor38,1480116793,0,0
1183688936226467840,l @UNESCO_fr  repaire d'abrutis incultes qui denaturent les oeuvres d' ART   Bande d'imbeciles l' ART c'est sacré  et on respecte l'integrité des oeuvres  Coignard - L'Unesco et les cache-sexes [LIEN] #SophieCoignard via @LePoint,Mon Oct 14 10:20:08 +0000 2019,Liberté d'expression,122033802,0,0
1183684571277287424,Quand l'#UNESCO cache les sexes de deux statues pour « ne pas heurter certaines sensibilités ». [LIEN] Par @SCoignard @UNESCO_fr,Mon Oct 14 10:02:48 +0000 2019,Le Point,8460572,34,81
1183652312339886080,"Bravo à Anastasia Bolotnikova, doctorante @umontpellier au @LIRMM lauréate Jeune talent France 2019 du prix @LOreal-@UNESCO Pour les Femmes et la Science

[LIEN] [LIEN]",Mon Oct 14 07:54:37 +0000 2019,Université de Montpellier,2294544162,23,8
1183566570506862594,Responsabilité de touts la lutte contre le gaspillage @UN @UNESCO @FAO [LIEN],Mon Oct 14 02:13:54 +0000 2019,Andrés A ALARCON TIQ,8988262,0,0
1183562995349082112,"Lancement de la formation en Malaisie, avec @OfficeClimate ! Une quarantaine d'enseignant.e.s, de [LIEN].s, d'officiel.le.s, pour une semaine placée sous le signe de l'éducation au changement climatique, organisé par ISTIC @UNESCO 🌏
#ClimateChange 
#education [LIEN]",Mon Oct 14 01:59:42 +0000 2019,Tricoire SVT,1124707102457520133,1,1
1183468223091695619,Immersion de @AfriyanGuinee à #Kalinko pour le forum communautaire sur la participation des jnes hom et femmes à la gournance. Projet financé par @UNPeacebuilding est porté par @unfpa_guinee @UNICEFGuinea et @UNESCO le #PutYoungPeopleFirst  à travers les conseils locaux de jnes [LIEN],Sun Oct 13 19:43:06 +0000 2019,Felix Dounia Millimo,769697207133966336,7,1
1183423770893209606,"MUPANAH/Commémoration : La saison 2019-2020 dédiée au Roi Henry Christophe (Henry 1er)
@MUPANAH @MCultureHT @IspanHaiti @MTourismeHaiti
@UNESCO_fr 

 [LIEN]",Sun Oct 13 16:46:28 +0000 2019,SiBelle Haïti,1117207994515767296,4,4
1183397268315148290,"#BELUX2019 #Saviezvousque la Ville de @CityLuxembourg fête cette année le 25ème anniversaire de son inscription au registre du patrimoine mondiale de l' @UNESCO ? 
🎂
➡️ [LIEN] [LIEN]",Sun Oct 13 15:01:09 +0000 2019,Embassy of Belgium in Luxembourg,1006798478478110720,0,1
1183397098508771329,La vidéo adressée par les élèves de CM2-2 du @lycee_ni  au @Defenseurdroits et @UNESCO_fr à l’occasion du 30e anniversaire de la #CIDE le mois prochain : [LIEN] ⚽️👫🏀,Sun Oct 13 15:00:29 +0000 2019,𝖢𝖺𝗆𝗂𝗅𝗅𝖾 𝖬𝗋𝗍,624528096,9,3
1183389555283636224,"[LIEN]
Histoire de la famille LOKO de Massè (Bénin)
@gouvbenin  @UNESCO_fr  @beninculturel  @RFIculture  @lemonde_culture  @cultureafrico [LIEN]",Sun Oct 13 14:30:30 +0000 2019,AVOHOU Wanignon,1070999970524860416,2,0
1183327912809959426,"Un grand merci à @franckdelage24  pour cet interview paru dans le journal Sud Ouest Dordogne - terre d'Enfance!

@SO_Dordogne @VilledeSarlat
@4womeninscience Prix @Loreal - @UNESCO 2019
@univbordeaux @Inserm

 #FWIS #Dordogne 

[LIEN] [LIEN]",Sun Oct 13 10:25:34 +0000 2019,Maude WAGNER,1133667626931163136,14,0
1183326426054975493,"#Objectifs2020 Former 100 jeunes filles et garçons au #Coding. Après avoir formé 15 jeunes à coder avec #Scratch, pr 2020 je pense former 100 jeunes au #BurkinaFaso  à coder avec @MITAppInventor .  @YouthMobile_ @UNESCO 
#lwili [LIEN]",Sun Oct 13 10:19:39 +0000 2019,KATTIE JEAN-BAPTISTE ANDREDOU,898555676,1,1
1183319717043462149,"On n'est pas peu fier de notre Mont-Saint-Michel ! Et ce ne sont pas les Normands qui vont nous contredire ;) 
@UNESCO_fr @RegionNormandie [LIEN]",Sun Oct 13 09:53:00 +0000 2019,CANAL+ Docs,861090822,21,7
1183167301979426816,"Excellente initiative de @XavierGorce et ses confrères dessinateurs pour faire reconnaître auprès de l'@UNESCO_fr le dessin de presse, et plus généralement la satire, comme droit fondamental. En espérant de tout ❤ que vous obtiendrez cette reconnaissance amplement méritée. #ONPC",Sat Oct 12 23:47:21 +0000 2019,Pamela Tamby,271930623,9,3
1183058292597231616,"""J'ai introduit une demande pour l'obtention de mon passeport à l'ambassade de Côte d'Ivoire à Paris depuis le 20 Août 2019 et jusque là mon document ne m'a pas encore été délivré"" @SOROKGUILLAUME depuis #Valence. Cc @UEenCI @EmmanuelMacron @UNESCO_fr @abidjan_net @@NathDasilva2 [LIEN]",Sat Oct 12 16:34:11 +0000 2019,G24🇨🇮,1111251533675614214,19,9
1183055835997655040,"Merci de nous aider à sauver le Lycée El hadj Oumar Tall de Dinguiraye. 
@UNESCO 
#Dinguiraye
#Kibaro [LIEN]",Sat Oct 12 16:24:26 +0000 2019,Tall Amadou,2879531687,3,0
1183048345436278784,Est-ce que ⁦⁦@francoislegault⁩ va nous dire que c’est parce que c’est bon pour l’environnement?! #Anticosti est un trésor national qu’il faut protéger. Soutenir sa candidature à l’⁦@UNESCO⁩ est une vitrine exceptionnelle pour le Qc. #PolQc [LIEN],Sat Oct 12 15:54:40 +0000 2019,Marie Montpetit,1857849721,12,12
1183045925616472071,"Donc la question devrait se poser même??🤬🤬 Non gardez les🤬🤬
@UNESCO_fr @ONU_fr @Elysee [LIEN]",Sat Oct 12 15:45:03 +0000 2019,𝐌𝐚𝐡𝐚𝐦𝐚𝐝𝐨𝐮 𝐁𝐨𝐮𝐥𝐤𝐚𝐬𝐬𝐨𝐮𝐦,2891811647,3,0
1183026784599711745,C’est @phcouillard qui a défendu l’intégrité d’Anticosti. @LiberalQuebec La @coalitionavenir va faire reculer le Québec à l’international. @UNESCO [LIEN],Sat Oct 12 14:28:59 +0000 2019,Christine St-Pierre,589379390,21,8
1182996834798755845,"#Éducation aux #Valeurs par le #Sport? 

C’est OUI pour un monde plus tolérant, plus sain, plus inclusif et plus juste.

#EducationParLeSport 
@UNESCO_fr 

[LIEN] via @YouTube",Sat Oct 12 12:29:59 +0000 2019,Deeninsports,745530190554488833,0,0
1182936782922489857,Honorée d'avoir présenté la soirée d'hommage à Charles #Aznavour jeudi soir à l'#UNESCO @AAzoulay @armembfrance @UNESCO_fr @MrAznavour [LIEN],Sat Oct 12 08:31:21 +0000 2019,Achren Verdian,276017092,9,0
1182901220643659776,"#SuccessStoryUSJ 
Le juge Abbas Halabi, Président de l’Association des Anciens de la Faculté de droit et des sciences politiques et économiques de l’#USJLiban, a été élu président du Comité culturel par le Conseil exécutif de l'@UNESCO.
#AlumniUSJ
➡️[LIEN]",Sat Oct 12 06:10:02 +0000 2019,USJ,1223881759,6,2
1182780510206083074,"🇲🇦🇫🇷 #Paris #Sénat Conférence de Presse présentation de la 12éme édition du #FestivalDeFès de la  culture #Soufie  organisée par @AmbaMarocFrance @UNESCO_fr
@Visit_Morocco_ 
Un avant goût des riches activités que propose le festival sous le signe  #humanisme et #spiritualité [LIEN]",Fri Oct 11 22:10:23 +0000 2019,Ambassade du Royaume du Maroc en France,1069550230327214081,6,5
