id,text,date,user,user_id,favorite_cnt,retweet_cnt
1172393993524527104,"Je suis le seul a avoir des crashs de R6 deuis la Maj ? 2 en une soirée...L’écran et le son se figent, le alt+f4 ne fait rien et parfois impossible d’afficher le gestionnaire des tâches, R6 restant affiché sur l’écran... des idées ? @UbiSupportFR",Fri Sep 13 06:18:04 +0000 2019,OkaShiiro,954869899461124098,12,0
1172485770533322752,"Salut @UbiSupportFR vous allez bien ? Moi ça va trkl merci, mais je comprends pas là... et c'est pareil pour mes pack pro league :/ une solution svp ^^ [LIEN]",Fri Sep 13 12:22:46 +0000 2019,PailleDoR #RheyGang,1059655734873505793,2,0
1172507842055725056,"sa faire DDOS en 4-4 , mes mates win mais impossible de me reco j'me fait ban 30 minutes @UbisoftSupport @UbiSupportFR  faîtes quelque chose s'il vous plait!!",Fri Sep 13 13:50:28 +0000 2019,Biche 🌸,880965871761534976,5,1
1172509914817867779,Ranked SoloQ : 5 game 4v55 game plus de 150ping1 DDOS (ban 1h et 87point) @UbiSupportFR  je vais te goumer,Fri Sep 13 13:58:42 +0000 2019,Akhdar,1139653062086332416,5,0
1172511748018122752,J’ai plus eu l’occasion de cliqué Ok que de kill xddd @UbiSupportFR [LIEN],Fri Sep 13 14:05:59 +0000 2019,☠️XWYWYWYWYWYWYWYX☠️,1060253931350249472,0,0
1172543851283787776,"Bon bah premiere game de la saison, 4/3 sur le point de gagner quand soudain erreur de connection ( ca vient pas de mon wifi ) aucun moyen de revenir. J'ai déjà 2 amis ayant rencontrer le meme probleme. @UbiSupportFR et je suppose que je peux aller me faire foutre pour mes points",Fri Sep 13 16:13:33 +0000 2019,just1blaireau,811294844668801024,1,0
1172569184578002945,Sur 3 game 2 on compté comme des défaites car le jeu a crash à la fin 🤦‍♂️. @UbiSupportFR vous avez des conseils pour éviter les crash ?(mon jeu n'arrête pas de crash😥) [LIEN],Fri Sep 13 17:54:13 +0000 2019,Yohan,2749022680,1,1
1172587889739350018,encore des boots @UbiSupportFR vous rendez ouf ya rien d'amélioré depuis les autres saisons,Fri Sep 13 19:08:33 +0000 2019,ELIA$,1064569973316755457,1,1
1172604345029971968,"Bonsoir @UbiSupportFR ! Serait-ce possible de récupérer mes points après un crash ou DDOS des servers svp ? Mes amis devraient également se plaindre et twitter quelque chose ( @Ziani189 , @ZayyDerx ) [LIEN]",Fri Sep 13 20:13:56 +0000 2019,BehxX__,1116603298474106881,0,1
1172820855228948480,merci @UbisoftFR votre jeux est vachement cool @UbiSupportFR [LIEN],Sat Sep 14 10:34:16 +0000 2019,Saphir.AGP,1494132115,5,1
1172842900750774272,go faire quelque chose pour votre jeu @UbiSupportFR  la c'est trop.. [LIEN],Sat Sep 14 12:01:52 +0000 2019,Helios Zydenn,3435640553,0,1
1172844028112621568,"Donc là, en ranked, un gars nous mets a 10 HP, mais il a pas le tir allié inversé... YES @UbiSupportFR",Sat Sep 14 12:06:21 +0000 2019,𝙐𝙜𝙤.R6S🇫🇷🇮🇹 #R6Project,1085268143172390913,0,0
1172846590836576257,Ce mec est juste un génie mais il est pas compris !! @UbiSupportFR [LIEN],Sat Sep 14 12:16:32 +0000 2019,Archer,2346292918,2,0
1172945656773775360,"Se prendre une heure de ban pour trois crash sur une game, dont deux en deux manches... Please @UbiSupportFR [LIEN]",Sat Sep 14 18:50:11 +0000 2019,*aAa* Thomy,1785106286,1,0
1173008164142428160,"Donc la dites vous que y a un ptit gros qui s'appelle Titouan qui vit en Angleterre qui vient de faire sauter ma connexion, privant ainsi ma famille de wifi pcq j'lui ais péter le cul alors que mr devait gagner en bootant... c'est grave @UbiSupportFR.",Sat Sep 14 22:58:34 +0000 2019,☢ I'm MalGusS ☢,980201768536723456,3,0
1173049764423839744,DONC LE MEC DDOS LA GAME ET ONT EST BANNI ? @UbiSupportFR @Rainbow6Game [LIEN],Sun Sep 15 01:43:52 +0000 2019,SamK,2588011204,3,1
1173141968475557888,si sa ddos autant sur pc que sur console il va se passer quoi ? @UbiSupportFR,Sun Sep 15 07:50:15 +0000 2019,Gui.,940275358552805377,0,0
1173158574530412545,Merci @UbiSupportFR @Ubisoft [LIEN],Sun Sep 15 08:56:15 +0000 2019,🅲🆁🅸🆀🆄🅴🆃🆃🅴,897062944030306304,1,0
