date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Sun Oct 13 11:20:24 +0000 2019,,1183341713676480512,1183339755154620417,,@KingJalletovich En ligne ce soir une fois que les qualifications seront terminés,Unibet France,424292289
Sun Oct 13 10:13:18 +0000 2019,,1183324826733297665,1183324628514693120,,@fr3dzer Je te conseille de passer par le service client ➡ [LIEN]. Ils te donneront plus de précisions 👌,Unibet France,424292289
Sun Oct 13 09:13:48 +0000 2019,,1183309853164560385,1183307119380049921,,"@legrand_yann @WinamaxSport @ParionsSport @Betclic Yep, on essayera de les proposer dans la semaine !  🏀",Unibet France,424292289
Sun Oct 13 06:14:29 +0000 2019,,1183264727415361536,1183217348385398784,,@Locoo756 Je te conseille de passer par le service client ➡ [LIEN]. Ils te donneront plus de précisions 👌,Unibet France,424292289
Sat Oct 12 18:40:23 +0000 2019,,1183090050705350656,1183089505257082880,,"@mz_pronos C'est remonté, ce sera fermé sous peu, encore excuse nous pour la gêne occasionnée!",Unibet France,424292289
Sat Oct 12 18:38:34 +0000 2019,,1183089592892874752,1183088552063721474,,@monamoureuxnino Il n'y aura pas de geste désolé!,Unibet France,424292289
Sat Oct 12 18:30:10 +0000 2019,,1183087477931814912,1183087311166361600,,@StanRobert53 @PronoNRV C'est remonté j'attend un retour!,Unibet France,424292289
Sat Oct 12 18:08:01 +0000 2019,,1183081905639608320,1183081338141839365,,@Jonathan30800 Je demande!,Unibet France,424292289
Sat Oct 12 17:42:06 +0000 2019,,1183075381877841920,1183074685380186115,,@ulmasta C'est remonté! Ce sera payé sous peu!,Unibet France,424292289
Sat Oct 12 15:41:09 +0000 2019,,1183044944602304513,1183044347228491777,,"@NicolasGrember Non cela signifie que le match est en cours. Quand un match est annulé, une croix grise s'affichera à côté du pari",Unibet France,424292289
Sat Oct 12 14:38:59 +0000 2019,,1183029300037144576,1183028535822372864,,@Xhakalasinac Pour quel match ?,Unibet France,424292289
Sat Oct 12 13:55:58 +0000 2019,,1183018474072875014,1183016348227719168,,@clemd44 On regarde si c'est possible,Unibet France,424292289
Sat Oct 12 13:42:37 +0000 2019,,1183015117321060354,1183013420758683648,,"@Darealjezzy C'est un problème d'affichage, on te rassure que la sélection est bien annulée",Unibet France,424292289
Sat Oct 12 13:13:02 +0000 2019,,1183007669814251520,1183007323272437766,,"@Yaya18vz Nous avons remonté l'information, on te tient au courant",Unibet France,424292289
Sat Oct 12 11:25:29 +0000 2019,,1182980605975367680,1182979328533061632,,@Parazines Voyons ce que l'on peut faire,Unibet France,424292289
Sat Oct 12 11:02:48 +0000 2019,,1182974895086592001,1182974351299219456,,"@anthonimes_ Tu devrais contacter le service client, ils vont se faire un plaisir de t'aider par rapport à ton compte 😉➡️[LIEN]",Unibet France,424292289
