id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183307297319198720,"Hello @Velib Malgré mon signalement via l’appli il y a 10j, un velib électrique est toujours à l’abandon devant l’entrée du Neoness, Passage Louis Philippe dans le 11e. Franchement vous abusez. [LIEN]",Sun Oct 13 09:03:39 +0000 2019,Esteban,304414072,0,0
1183303160552738817,.@Veligo_Loc développé par @iledefrance et @IDFmobilites se déploie dans les rues de @Paris et #Paris15. Complément de @Velib pour répondre aux besoins de nouvelles mobilités des Parisiens [LIEN],Sun Oct 13 08:47:12 +0000 2019,Mairie du 15,19333709,4,2
1183290509747539969,Un matin ordinairement énervant avec @Velib et ses vélos continuellement dysfonctionnels dans le 18e [LIEN],Sun Oct 13 07:56:56 +0000 2019,Audrey Delaporte,1020517555,3,0
1183069925084192768,Station 7112. 5 vélos indiqués. En réalité 7 - 1 a le dérailleur casse. 1 la selle ne se bloque plus. 1 a le sens interdit. 1 est en pause depuis 19h. 3 affichent le pictogramme borne et ne peuvent être retirés. Qd est ce que vous arrêtez de vous foutre de notre gueule @Velib?,Sat Oct 12 17:20:25 +0000 2019,Raul Gastro,722515659276554240,1,1
1183002133093928961,⁦@Velib⁩ merci pour l’info mais vous ne voulez pas - au moins - insérer un lien vers la page permettant de souscrire l’abonnement ? Si donner cette possibilité dans l’app est compliquée ?! Thx [LIEN],Sat Oct 12 12:51:02 +0000 2019,david GAUTIER 🕴🏽,177227633,0,0
1182931089049833472,"Bilan d’une journée #velov à @grandlyon : service au top. Stations pleines, 🚲 légers et toujours fonctionnels, je n’ai vu AUCUNE épave. 💯 % différent d’avec @velib dont la maintenance a hélas toujours 15 trains de retard #velib #velotaf",Sat Oct 12 08:08:44 +0000 2019,andréa,122966329,1,0
1182908116926697472,"Wow. Depuis 48h (10 octobre), une flopée de nouveaux @Velib électriques est dispo. Trajet nickel. A quand des nouveaux velibs verts ? [LIEN]",Sat Oct 12 06:37:27 +0000 2019,Edouard Koals,423755047,0,0
1182725188800131072,Bonjour @Velib que faire lorsque je trouve des pièces détachées à Montreuil ? [LIEN],Fri Oct 11 18:30:33 +0000 2019,ToM Leb,428904744,0,0
1182700640583278592,Comme d hab impossible de prendre un @Velib à Austerlitz : stations et vélos dysfonctionnels. Bravo ça marche moins bien qu avant...,Fri Oct 11 16:53:00 +0000 2019,olivier lelarge,703344086451941380,2,0
1182690042516557824,"Mdr la chaîne de mon @Velib qui se pète pendant que je roule, on me l'avait jamais faite celle la",Fri Oct 11 16:10:54 +0000 2019,Robin,568228347,4,0
