date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Sun Oct 13 09:47:23 +0000 2019,,1183318306457116672,1183290509747539969,,"@Audreydlpt Bonjour @Audreydlpt , la possibilité de supprimer les notifications par mail est à l'étude, mais pas encore disponible. Nous sommes désolés pour la gêne occasionnée. 
Bonne journée",Vélib' ,182768827
Sun Oct 13 09:44:26 +0000 2019,,1183317563549409281,1183307297319198720,,"@EstebanZach Hello @EstebanZach , merci pour votre message. Une équipe va venir le récupérer.  
Bonne journée.",Vélib' ,182768827
Sat Oct 12 18:17:16 +0000 2019,,1183084231540563970,1183069925084192768,,"@RaulGastro Bonsoir @RaulGastro, merci pour ce signalement. J'informe les équipes de maintenance.",Vélib' ,182768827
Sat Oct 12 10:08:12 +0000 2019,,1182961154026622976,1182908116926697472,,"@RvdHPuttelaar Bonjour @RvdHPuttelaar , merci pour votre retour. Effectivement de nouveaux V.A.E sont en cours d'injection pour répondre à la forte demande.",Vélib' ,182768827
Fri Oct 11 18:36:44 +0000 2019,,1182726743465037824,1182725188800131072,,"@tom_leb Bonsoir @tom_leb , merci pour votre message. Pouvez-vous me préciser le numéro du vélib concerné et la station où il se situe ? Vous pouvez déposer la pièce dans le panier, une équipe va se rendre sur place.
Merci",Vélib' ,182768827
Fri Oct 11 17:06:43 +0000 2019,,1182704090566070276,1182700640583278592,,"@olivier_lelarge Bonsoir Olivier, j'informe les équipes de maintenance.",Vélib' ,182768827
Fri Oct 11 16:46:21 +0000 2019,,1182698967345303552,1182690042516557824,,"@untoulousain Bonsoir @untoulousain , nous sommes désolés de cet incident. Votre sécurité est notre priorité et aucun vélo ne sort de nos ateliers sans un contrôle rigoureux. Pouvez-vous m’indiquer la localisation concerné afin que nous le récupérions ? Merci 
Aurélien",Vélib' ,182768827
Fri Oct 11 10:27:45 +0000 2019,,1182603685764968449,1182602409832583170,,"@henko_nico Bonjour @henko_nico, c'est en effet le cas. Nous avons mis en place le 3D Secure sur le site et l'appli. Le phénomène de fraude à la CB est endigué, et bientôt totalement éradiqué. 
Aurélien",Vélib' ,182768827
Fri Oct 11 09:02:07 +0000 2019,,1182582136181800961,1182513455108153350,,"@Loreleibirds Bonjour @Loreleibirds, ce signalement est bien remonté. Il sera retiré lors du passage d'une de nos équipes. Merci.
Aurélien",Vélib' ,182768827
Thu Oct 10 18:00:17 +0000 2019,,1182355183298383877,1182342427853672448,,"@PaulRRGrand Bonsoir @PaulRRGrand , je suis désolé mais je n'ai pas de visibilité sur votre dossier. Je vous invite à joindre  directement le service client par DM ou par téléphone.",Vélib' ,182768827
