id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184037669036277760,Quand .@Vendeenumerique va- t-elle respecter la loi Élan et proposer des accès fibre activées aux opérateurs alternatifs qui en font la demande ? .@FranceTHD .@paysdelaloire .@DepVendee .@AgenceNumerique .@Senat .@Arcep .@EU_Competition [LIEN],Tue Oct 15 09:25:53 +0000 2019,Coriolis,374975814,6,4
1184013711981383680,"Le @LeTour passera t'il à @LaRochelle_OT et @poitiersfr pour le plus grand plaisir des fans du @TDE_ProCycling Vendéen❓

💬 Réponse dans 2 heures

@DepVendee 
#TDF2020 #AllezTotalDirectEnergie #WildsCards2020 [LIEN]",Tue Oct 15 07:50:41 +0000 2019,Fan Club Team Total Direct Energie,1241188148,6,1
1183851296744529923,"Un rapport du Comité d'évaluation et de contrôle de l'AN met en relief la disparité des territoires face au recul des services publics. Données intéressantes et @paysdelaloire @loireatlantique @Maine_et_Loire @lamayenne @sarthefr @DepVendee résistent.
[LIEN] [LIEN]",Mon Oct 14 21:05:18 +0000 2019,EISENMAN Laurent,343376912,2,0
1183744050366763009,"Signature de la convention PRIR de LaVigneAuxRoses assurant le #renouvellement #urbain du quartier dans lequel @VendeeHabitat investit pour les locataires
Merci aux partenaires @AnruOfficiel @PrefetVendee @DepVendee @larochesuryonfr @ActionLogement @caissedesdepots @BanqueDesTerr [LIEN]",Mon Oct 14 13:59:09 +0000 2019,Vendée Habitat,923193468331220992,3,2
1183739696662437888,Signature de la convention 2019-2024 du projet de renouvellement urbain de la Vigne-aux-Roses en #actioncoeurdeville @larochesuryonfr avec @PrefetVendee @VendeeHabitat @DepVendee @ActionLogement et la @BanqueDesTerr qui accorde plus de 15M€ de prêts sur Fonds d'Epargne 👍 [LIEN],Mon Oct 14 13:41:51 +0000 2019,Philippe Jusserand,819928162490519554,7,4
1183720500222156800,"[CONFERENCE] ""Les jeunes, internet et les mondes virtuels : quel impact identitaire""
🗓️ 28 novembre 20h à l'#ICAM - La Roche sur Yon
animée par #StéphaneBlocquaux
Organisée par 
@UDAF85
 
En partenariat avec 
@MFRvendee, #APEL85, @DepVendee, @CAAtlantVendee, @cafdelavendee [LIEN]",Mon Oct 14 12:25:34 +0000 2019,UDAF de la Vendée,4119790821,4,2
1183698736343666689,"La ferme de Nermoux en #vendée lance un financement participatif pour sa cave d'affinage !
#invitationalaferme @MiiMOSA_fr @agriculturebio @PrefetVendee @DepVendee @TVVendee @interbioPdL @CAB_BIO_PDL @paysdelaloire @OuestFrance 
[LIEN] [LIEN]",Mon Oct 14 10:59:05 +0000 2019,Invitationàlaferme,827219788904660994,2,0
1183691970838962177,Très fier d’appartenir à cette communauté @VendeeFrTech au nom @OrangePaysLoire ! @a_leboeuf @DepVendee [LIEN],Mon Oct 14 10:32:12 +0000 2019,Alain Le Coz,1003989872,5,2
1183679152156790784,"Et hop un 2ème article de @OuestFrance sur nos actions dans le @DepVendee ! 📰
#MondayMotivation ? Hâte d'être à samedi pour le concert 🎹
@paysdelaloire #partage #musique #ensemble #bonheur [LIEN]",Mon Oct 14 09:41:16 +0000 2019,Blandine Magnan,908338955824791553,2,1
1183649788933427200,"12 octobre 1853 Décès au château de Pierre-Levée @VilleDesSables en #Vendée d'Augustin-Moïse Auvynet, ou Auvinet, député royaliste modéré en 1815, juge au palais de justice de Bourbon-Vendée, puis président du conseil général @DepVendee [LIEN]",Mon Oct 14 07:44:35 +0000 2019,Histoire Vendée CM,1052784641852264449,0,0
1183400856567406592,"Fin de la 7ème édition des #ITV de @DepVendee
Merci à l'organisation et surtout aux bénévoles !
Félicitation à @MikaelYmer [LIEN]",Sun Oct 13 15:15:25 +0000 2019,Damien Brochard,36056888,2,2
1183394869630373890,Finale @ITVChallenger au Vendespace @DepVendee @paysdelaloire entre Ymer et Bourgues #tennis [LIEN],Sun Oct 13 14:51:37 +0000 2019,Laurent Caillaud,2457304979,3,1
1183338122664382466,Internationaux de tennis de #vendee : le live commence sur ⁦@TVVendee⁩ #itv2019 #tennis ⁦@ITVChallenger⁩ ⁦@DepVendee⁩ [LIEN],Sun Oct 13 11:06:08 +0000 2019,Hervé Le Roch ن,709307466941657088,1,0
1183295235515965441,"Nouvelle Victoire de @LAVENDEENNE85 ! On continue !👏🏻👍🏻 On est seul 1er au classement N1 ÉLITE ! @RinkHockey_FFRS 

Notre Capitaine, @debrouv est pour le moment, le meilleur buteur du Championnat !
@OuestFrance85 @sports_ouest @LePaysYonnais @TVVendee @DepVendee @larochesuryonfr [LIEN]",Sun Oct 13 08:15:43 +0000 2019,JEAN-PHILIPPE BRISON,1155859571065479168,3,2
1183126974887272449,Excellent article a méditer 🤔@CorinneFillet @Narquin_JY @dickeric76 @normandeliere @bleuloireocean @F3PaysdelaLoire @paysdelaloire @DepVendee @PrefetVendee [LIEN],Sat Oct 12 21:07:06 +0000 2019,Jean-Patrick Fillet,2610041641,5,8
1183015730750447616,Demie finale des internationaux de tennis de @DepVendee [LIEN],Sat Oct 12 13:45:04 +0000 2019,Michel DURRIS,2302877325,3,0
1182914210214404097,"Cc @RemaudPatrice  tu va où ?
En @DepVendee  mais où ?
Cc #justeetvendéen [LIEN]",Sat Oct 12 07:01:39 +0000 2019,LINO,221796407,15,5
1182690327888564224,"Au 10ème anniversaire de la réserve de la « Vacherie » sur Champagné les marais. Je représentais le président @DepVendee, @YvesAuvinet lors de cet événement. L’occasion de revenir sur la sensibilisation et la préservation des espaces naturels ainsi les actions engagées sur l’eau. [LIEN]",Fri Oct 11 16:12:02 +0000 2019,Arnaud Charpentier,522514656,1,0
