id,text,date,user,user_id,favorite_cnt,retweet_cnt
1177599058883551235,« La responsabilité territoriale de l’entreprise est en train de s’imposer annonce @PierreVictoria1 de @Veolia_FR @Min_Territoires #impact #ESS #Climat #ODD #PDG [LIEN],Fri Sep 27 15:01:09 +0000 2019,Décisions durables,92728993,0,0
1177582698627522561,ScaleChanger intervenait hier au séminaire annuel du programme #Popup de #Veolia2EI à propos de notre étude sur les #businessmodels innovants dans l’entrepreneurial social réalisée avec @AshokaFrance - @Veolia_FR @antropiaessec @PremiereBrique @ronalpia [LIEN],Fri Sep 27 13:56:08 +0000 2019,ScaleChanger,2438997416,2,2
1177545227491532800,"Vous ne voulez plus de #Pesticides à proximité de vos habitations? Très bien nous ne voulons plus de vos boues de Station d’épuration !
Opération #RetourALenvoyeur @FDSEA62 @Veolia_FR Acte I
👊🏻💨🚜 [LIEN]",Fri Sep 27 11:27:14 +0000 2019,Mathieu Hennebert,1172249835854008335,3,4
1177528380650139649,"Bonjour @Veolia_FR
Quand je veux créer mon espace client avec ma référence, on me dit que mon abonnement est déjà attaché à un espace client. Mais quand j'essaie de me connecter avec mon mail sur lequel j'ai reçu ma confirmation d'abo, on me dit qu'il n'y a pas de compte",Fri Sep 27 10:20:18 +0000 2019,B a b é,3208018372,0,0
1177525928106311680,"Éric Blanchot (@Veolia_FR) : «  L’enjeu de notre #DSI, c’est la recherche de cohérence alors que notre démarche d’amélioration est forcenée ! » [LIEN]",Fri Sep 27 10:10:33 +0000 2019,"Alliancy, le mag",912513222,1,1
1177515661506932736,Avec nos partenaires de la filière Bâtiment pour leur faire découvrir le gaz vert produit par la STEP de ⁦@PerpiMetropole⁩ Merci à ⁦@Veolia_FR⁩ et @AICVF Languedoc-Roussillon [LIEN],Fri Sep 27 09:29:45 +0000 2019,FredericRolland,2755284824,6,0
1177477988532621313,".@Veolia_FR a interrogé les représentants du personnel, une grande partie des salariés et les membres du conseil d’administration lorsqu’elle entreprit de redéfinir son #purpose. [LIEN]",Fri Sep 27 07:00:03 +0000 2019,Thibault Chabert,2902117137,0,0
1177436854418735107,"Deux heures que j'épluche les textes de loi et les témoignages d'abus de facturation de @Veolia_FR.

Concernant la l'article 218-2 du Code de la Consommation, ils ne peuvent me facturer au déjà de deux ans mais le point de départ est inexistant.",Fri Sep 27 04:16:36 +0000 2019,Tachiyomi,1722087055,1,0
1177300674222182401,"Rencontre des apprentis du bts électrotechnique du lycée CFA #loritz avec la DRH de leur employeur @Veolia_FR 
Quelle chance pour ces jeunes d'entrer dans cette grande entreprise. #apprentissage [LIEN]",Thu Sep 26 19:15:28 +0000 2019,Olivier Pallez,767447724153303040,1,1
1177144752476696576,Carton plein pour la journée #méthanation du @PoleIAR avec 200 participants motivés ! Un grand merci à @Veolia_FR de nous accueillir et à nos autres sponsors @ENGIEgroup et @GRTgaz. [LIEN],Thu Sep 26 08:55:53 +0000 2019,Pôle IAR,3247938351,12,3
1176905446139060227,"Dis @Veolia_FR, quand et comment pourrait-on parler de financement de projets associatifs via le rachat de papiers ? Et contrepartie en matière de communication, bien sûr ?",Wed Sep 25 17:04:58 +0000 2019,Sylvain Dépée,114861559,2,0
1176889435876745217,"Venez partager votre vision du courage managérial avec JC Guy, @Veolia_FR, lors de la fête du management le 10 octobre à Ancenis-Saint-Géréon.
Pour vous inscrire: [LIEN]
@EmilieTales @dvi540 @AddTIMEJeanMax1 
#Manager [LIEN]",Wed Sep 25 16:01:21 +0000 2019,Patricia Dubois - Carenae Conseil,986345075591524353,5,1
1176853338719211522,"Félicitations à @Veolia @Veolia_FR qui a choisi d'embaucher des #PMR comme personnel de maintenance... 

Cc @AccessibleTOUS [LIEN]",Wed Sep 25 13:37:55 +0000 2019,EtienneMarc,75639868,9,5
1176847440684683266,🤝 @Veolia_FR devient partenaire du Poool pour favoriser la #collaboration avec les #startups et les acteurs locaux 🚀#IlleEtVilaine #partenariat #innovation #tech #entrepreneurs #écosystème [LIEN],Wed Sep 25 13:14:29 +0000 2019,Le Poool,2301973272,11,4
1176761484011089922,"Veolia @Veolia_FR Territoire Bassin de la Vilaine est fier d'être partenaire de @Le_Poool French Tech Rennes Saint Malo.
#ancrage #innovation #digital #technologie [LIEN]",Wed Sep 25 07:32:55 +0000 2019,Freddy GOT,921099181204353025,18,9
1176562857187651586,"Merci également à tous les partenaires présents : entreprises, #Sitom69, opérateurs, élus de la circonscription pour leur participation à l'élaboration de propositions qui seront directement remontées à la Ministre @brunepoirson ♻️
@derichebourg @Veolia_FR @Valorplast @suezFR... [LIEN] [LIEN]",Tue Sep 24 18:23:39 +0000 2019,Jean-Luc FUGIT,810591493597630464,1,1
1176452052035297282,"Un bel hommage de @NM_Antibes à l'équipe du laboratoire d'analyse de la qualité des eaux de baignade de @Veolia_FR. Situé à Sophia Antipolis, le laboratoire livre en 1 heure les résultats d'analyse de l'eau prélevée à 6h sur les plages de @MandelieuVille [LIEN]",Tue Sep 24 11:03:21 +0000 2019,Gilles Rousseaux,2200549876,9,3
1176415653605072896,"Ns sommes ravis de retrouver l'équipe @Veolia_FR de Toulouse qui découvre l'Odyssée, notre #seriousgame conçu sur mesure !

Les 5 équipes réunies à la Cité de l'Espace, se sont lancées avec énergie  dans ce challenge destiné à faciliter le chgmt de #culture d'entreprise. 🚀 [LIEN]",Tue Sep 24 08:38:43 +0000 2019,SPRING LAB,465421877,12,4
1176179550906146817,".@davidmenasce aura le plaisir d’animer la conférence de l’@InstitutVeolia sur l’#agriculture #urbaine le 1er octobre prochain au siège de @Veolia_FR. Un sujet qui passionne les équipes d’@Archipel_Co 
👉 Tous les détails pour vous inscrire ci-dessous [LIEN]",Mon Sep 23 17:00:31 +0000 2019,Archipel&Co.,498723146,8,3
1176106297634283521,#Séminaire #Métiers_Retraite_prev c « La certification au coeur des politiques de formation » continue ! 2ème Table ronde « La mise en oeuvre de la #certification dans les milieux profes­sionnels » Témoignage d’entreprises : #Ircem Observatoire de la @mutualite_fr @Veolia_FR [LIEN],Mon Sep 23 12:09:27 +0000 2019,Agirc-Arrco,224974777,1,2
1175493224103895042,"Un @TriatAudencia à @VilleLaBaule d’exception , avec le soleil . Équipes @Veolia_FR et @EDF_PdL sous le même maillot . Merci à @f_boudaud pour l’accueil et bravo pour les performances. Un partenariat #Veolia #EDF aux multiples facettes. [LIEN]",Sat Sep 21 19:33:18 +0000 2019,Michel Magnan,936600163153580033,16,7
1175409631549710336,"🤝 Découvrez les entreprises de services présentes à Job'up in Romans 2019 : @ADMRun Axen Informatique, @ConcepteurV @FaragloContact La Ronde Des Services, @ShivaMenage @Veolia_FR et Vivre chez Soi
[+] d'infos 👉 [LIEN]
#jobup #jobup2019 #jobupinromans #emploi [LIEN]",Sat Sep 21 14:01:08 +0000 2019,Ville de Romans-sur-Isère,161203174,5,2
1175340908444864512,"#TriALB – Un grand merci à tous les partenaires du @TriatAudencia pour leur soutien ! 🙏
@paysdelaloire @loireatlantique @VilleLaBaule @studyrama @GroupManitou @Veolia_FR @SNCF @FFBatiment @EYFrance  @capgeminifrance @GroupePomona @Europcar @GOELIA_OFFICIEL @Lepapestore [LIEN]",Sat Sep 21 09:28:04 +0000 2019,Audencia,17679069,9,2
1175322546834743296,En mode supportrice de mon homme @Fred_Gautier_ et des équipes @Veolia_FR au triathlon de La Baule #TRIALB [LIEN],Sat Sep 21 08:15:06 +0000 2019,Aurélie Arquier,1143415887703289857,3,0
1175086852128333824,Tous mobilisés demain ! #tousecoresponsables #WorldCleanUpDay2019 #jouylemoutier @CampusVeolia @Veolia_FR [LIEN],Fri Sep 20 16:38:32 +0000 2019,Nadege Corneloup,340446926,5,2
1175067476721315840,Bravo @ClaireFalzone 👏 et toutes les équipes de @NovaVeolia @Veolia_FR nous avons bcp apprécié de travailler ensemble 👌 [LIEN],Fri Sep 20 15:21:32 +0000 2019,Nicolas Renault,3141546107,6,2
1174943524975833088,Nous sommes heureux de  présenter notre solution de microlearning dédiée à la prévention au siège de @Veolia_FR. Merci à  @IEI_Inizia @HECParis et nos partenaires @ADEC_Corse @AFPA_CORSE @Opcalia @aract_corse #kyrnolia @HerlinThierry @JA_Leca @mfburini 👍 [LIEN],Fri Sep 20 07:09:00 +0000 2019,PrevnLab - Techno Web pour la prévention SST,970389777727008768,15,3