id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183739823414267905,"[Marché du lundi] Éco / ISR : 
#Trump #USA #Chine #OMC #Fed #Europe #UK #Brexit #Euro #Dollar 
#Biodiversité #COP15 #Climat #ISR #ImpactISR #ESG @IDDRI_ThinkTank @AFBiodiversite @ICRI_Coral_Reef @WWFFrance

L’analyse complète disponible ici : [LIEN] [LIEN]",Mon Oct 14 13:42:21 +0000 2019,Ecofi,3290023082,0,0
1183737256407908352,"322 députés de la majorité ont salué la démarche de @WWFFrance et @TI_France 🏢 Leurs rencontres avec les lobbyistes seront désormais rendues publiques ainsi que l'origine de leurs amendements, c'est selon eux une ""exigence démocratique"" ⤵️ via @lemondefr 
[LIEN]",Mon Oct 14 13:32:09 +0000 2019,Saper Vedere,776046442259546112,4,6
1183691418566647808,"♻Après notre matinée sur les pièges du #greenwashing, @CarolineChaix revient sur l'opération #recyclezvotremobile menée par @bouyguestelecom
 avec @suez, @samsungfr, @recommercegroup, soutenue par le @wwffrance. Preuve que la co-construction avec les bons partenaires est la clé! [LIEN]",Mon Oct 14 10:30:00 +0000 2019,L'Agence Verte,92539174,1,0
1183632179714318337,Signez cette pétition de @wwffrance pour demander plus de transparence sur le poids des lobbies.  [LIEN] #WWF,Mon Oct 14 06:34:37 +0000 2019,Alexandre Durrande,92626499,0,0
1183395658272772098,Je lance un appel à la @WWFFrance : il faudrait engager un processus de sauvegarde pour les supporters du Stade Français qui sont en voie d’extinction... #SFPRCT,Sun Oct 13 14:54:46 +0000 2019,🏳️ Free Guilhem Guirado ❌ 🎌,1848394860,2,0
1183143456144793603,"Partenaire de l’événement caritatif de @LuanGamingYTB pour la @WWFFrance, nos joueurs y participeront ! 

Rendez vous le lundi 21 octobre à 16h sur la chaîne Twitch :
[LIEN]

Venez nombreux ! 🐼
#ARNWIN [LIEN]",Sat Oct 12 22:12:36 +0000 2019,Team Arowny,1088161044009283584,10,3
1183140758204882946,Est ce que c’est une énorme blague l’emission #aquamen sur #6ter ! Ça choque personne que David Hasselhoff veuille un requin chez lui dans un aquarium de 3 m !? Que fait @WWFFrance ? Et tout le monde est content. WTF,Sat Oct 12 22:01:53 +0000 2019,Joukia,65444270,0,0
1183058495957954560,"#Homecoming_Audencia - @audencia, plus que jamais engagée dans la #RSE, fête cette année 10 ans de partenariat avec @WWFFrance 🐼 
A cette occasion, on vous propose un atelier de tri des biodéchets avec @OuiValo, incubée au start-up Lab de l'école ♻️ [LIEN]",Sat Oct 12 16:35:00 +0000 2019,Audencia Alumni,631900854,6,2
1183048554593554432,C’est maintenant pour décrypter    avec @mathieuvidard et nos intervenants comment la #Publicite peut nous aider à changer de modèle. @franceinter @fcinqagency @ademe @PublicisConseil @WWFFrance @AG2RLAMONDIALE @Francetele @libe @Min_Ecologie [LIEN],Sat Oct 12 15:55:30 +0000 2019,Festival Atmosphères,259003104,5,2
1183043529368653824,"🐦 La Journée mondiale des #oiseaux migrateurs nous rappelle qu’il est nécessaire de protéger les oiseaux et leur habitat.
🐥 @WWFFrance nous donne l’occasion découvrir les guifettes moustacs et leurs poussins 🧡
 #WorldMigratoryBirdDay #WWF360
[LIEN] [LIEN]",Sat Oct 12 15:35:31 +0000 2019,Alda Medeiros🦋,584269877,7,1
