id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184050448019476480,"#géolocalisation, #data, #iA, #mobile... un quarté gagnant pour les stratégies drive-to-store : parcours client avant/après achat, push de pub sur les gps. nouvelles opportunités, nouveaux enjeux ⁦@SEATFrance⁩ ⁦@SFR⁩ ⁦@WazeFrance⁩ ⁦⁦@S4Mobile⁩ #HUBFORUM [LIEN]",Tue Oct 15 10:16:40 +0000 2019,Aude hapiot,372817468,0,0
1184042986033831937,Waze pour les villes simplifie la collecte de #donnes #Data #Mobilite #SmartCity @Waze [LIEN],Tue Oct 15 09:47:00 +0000 2019,Be-SmartCity,903183543962095616,0,1
1184035627391696896,En direct de l’atelier du #workshop @waze : Comment émerger avant l’entrée du magasin auprès des stoppeurs ? L’exemple de @SFR sur Waze [LIEN],Tue Oct 15 09:17:46 +0000 2019,HUBFORUM,150585854,2,1
1184018064750325760,RDV pendant le break pour les premiers workshops ! @facebook @Solocal @waze @WeAreAdot @artefactgroup &amp; @amazon advertising 💥 #HUBFORUM #SmartReboot,Tue Oct 15 08:07:59 +0000 2019,Lily Sykes,127509787,5,0
1183957200722677760,"15/10 6h05 #accident sur #A10  1 VL, 2 PL écoutez @Bleu_Gironde @WazeFrance @CirculationBxM @BxMetro @rftrafic [LIEN]",Tue Oct 15 04:06:08 +0000 2019,France Bleu Gironde,198448253,0,1
1182733635021164545,"[#Mobilite]
#Monaco va rejoindre au début de l’année prochaine le @waze Citizen Program de la célèbre appli de guidage automobile. Objectif: toujours mieux informer les automobilistes en leur indiquant les déviations et autres routes barrées",Fri Oct 11 19:04:07 +0000 2019,Frederic Genta,527406012,16,7
1182528246782615552,Quand à 7h25 @waze t'annonce 1h05 pour faire 12km c'est que le périphérique de @nantesfr est bien bouché... Mais heureusement aujourd'hui c'est #teletravail #QVT @dynaMIPS01 [LIEN],Fri Oct 11 05:27:59 +0000 2019,Christophe Ravelot,141098221,4,0
1182336692243615755,"Aujourd'hui je vous présente à tous 
Abdel_77, Abdel_77 souffre dans les bouchons à #Paris. Abdel_77 a donc decidé de s'exprimer. Sur @waze. En laissant des notes.

 Ça fait une heure que je suis son parcours, on sent le craquage psychologique. [LIEN]",Thu Oct 10 16:46:48 +0000 2019,LeCaptain,848858036164845571,11,0
1182233664974921728,"[#Mobilite]
#Monaco va rejoindre au début de l’année prochaine le @waze Citizen Program de la célèbre appli de guidage automobile. Objectif: toujours mieux informer les automobilistes en leur indiquant les déviations et autres routes barrées. [LIEN]",Thu Oct 10 09:57:25 +0000 2019,Gouvernement Monaco,472167838,16,10
1182202813193113602,"En s'associant à @WazeFrance,  le comité régional de tourisme de @Nice_Tourisme souhaite éviter les pics de fréquentation sur les sites touristiques sensibles en proposant aux touristes en voiture des solutions alternatives ▶️ cc @VisitCotedazur 👋 &gt; [LIEN]",Thu Oct 10 07:54:49 +0000 2019,Carrefour Voyages,1089095701,4,1
1182202111284649984,"#RS2019 accueil des élus et partenaires à l'état major des sapeurs-#pompiers de la #Vienne86 qui participeront ce matin à 4 ateliers : la #DECI 🔥, le cheminement de l'alerte #CTA, l'engagement citoyen (@waze @permit_to_save ...), et le #SUAP
#Decouverte #Pédagogie #Rencontres [LIEN]",Thu Oct 10 07:52:02 +0000 2019,Sapeurs-pompiers 86,1286032364,19,11
1182202021182689280,"Les dernières tendances du #webtostore pour les réseaux d'enseignes ? La réponse ce matin lors de notre conférence avec @Google, @waze et @loff_reseaux ! [LIEN]",Thu Oct 10 07:51:40 +0000 2019,Inlead,722419616052613120,4,1
1182199418499584000,Aujourd'hui nous abordons les dernières tendances du Web to Store avec @Google @waze @inlead @loff_reseaux avec une salle comble! [LIEN],Thu Oct 10 07:41:20 +0000 2019,Solène Logiou,202532088,7,3
1182177723600556032,"#RCIBSInnovation @waze ouvre ses données aux villes et agglomérations. Récemment, le service a annoncé un accès à ces informations directement dans le cloud de @Google, pour simplifier leur traitement. #data #SmartCity Pour en savoir plus 👉 [LIEN] [LIEN]",Thu Oct 10 06:15:07 +0000 2019,RCI Bank and Services,4794918203,0,0
1182016547302383616,Découvrir l'appli @Waze et ses secrets : dans les tunnels ça marche comment ? @BlaBlaCar_FR a peut-être dû soucis à se faire   [LIEN] via @YouTube,Wed Oct 09 19:34:40 +0000 2019,Marc Faidherbe,581094700,0,0
1181645740306771969,"L’incroyable histoire de @waze, la carte routière la plus précise au monde․.. conçue par des bénévoles [LIEN] via @01net",Tue Oct 08 19:01:13 +0000 2019,Dominique Lang,38634848,5,5
1181631102617837571,"L’incroyable histoire de @Waze, la carte routière la plus précise au monde... conçue par des bénévoles [LIEN] via @01net
Découvrez les packs [LIEN], le seul écran publicitaire dans le véhicule de vos clients !
@1000Partenaires [LIEN]",Tue Oct 08 18:03:03 +0000 2019,1000Partenaires,1069328016227139585,1,0
1181485539507232778,"L’incroyable histoire de #Waze, la carte routière la plus précise au monde... conçue par des bénévoles.
~ via @01net @WazeIDF @WazeFrance 
[LIEN]",Tue Oct 08 08:24:38 +0000 2019,Patrick Mokuba,259643459,1,0
1181451965894742017,"« Plateformes, bid data et recomposition du gouvernement urbain »
Le cas de @waze par
@AnCourmont

[LIEN]",Tue Oct 08 06:11:13 +0000 2019,Antoine Baron,576558404,2,2
1181258801707732995,À quand le #E85 comme choix de carburant sur @waze ? @bioethanol_fr,Mon Oct 07 17:23:39 +0000 2019,Brice Faldi,616528405,1,0
1184385716933025792,"La convergence des médias: le média @waze, #radio et #affichage 

➡️Rendu possible grâce aux indicateurs de mesure de @GroupMFrance 

Avec @jayredondo @nicoppg et Jérémy Hoy au #HUBFORUM #MBADMB @ArnaultChatel @VincentMontet [LIEN]",Wed Oct 16 08:28:54 +0000 2019,Mélissa Mokrane,790835407336402944,2,0
1184385294986076161,"“La convergence ne se décrète pas, elle se construit. En mobilité, le contexte est ROI. 1+1=3."" 
@nicoppg @intermarche. 
@jayredondo @waze @GroupMFrance #HUBFORUM @HUBInstitute @ArnaultChatel @MBADMB [LIEN]",Wed Oct 16 08:27:13 +0000 2019,Xiaohuan JIANG,1156814741550952449,1,0
1184384603420790784,"#hubforum
@jayredondo : ""la convergence ne se décrète pas, elle se construit ""
@waze
#mbadmb
@VincentMontet 
@ArnaultChatel [LIEN]",Wed Oct 16 08:24:28 +0000 2019,Vilar Benoit,1168644476673413120,5,2
