id,text,data,user,user_id,favorite_cnt,retweet_cnt
1175777128220123137,J’ai fais ça comme ticket pour ce soir. @WinamaxSport @Winamax [LIEN],Sun Sep 22 14:21:26 +0000 2019,H O S T I L E 👁‍🗨,501041055,0,0
1175767754026172417,On a même pas encore décollé que j’ai déjà un copain@Winamax   Dublin [LIEN],Sun Sep 22 13:44:11 +0000 2019,boubouchetv,1083270091414880257,4,0
1175762513125937152,J’étais totalement malade en 2017 niveau paris sportifs mdrrrrr 😭 (cc @WinamaxSport @Winamax ça va?) [LIEN],Sun Sep 22 13:23:22 +0000 2019,Félix 🐅,631327247,1,0
1175741517253828616,"Bonjour @Winamax , j’ai supprimé mon compte il y a quelques semaines  et j’aimerais savoir s’il était encore possible de le réactiver ou si c trop tard ? Merci d’avance :)",Sun Sep 22 11:59:56 +0000 2019,Skyzo United Games,765928370001604608,0,0
1175732241240076288,C'est possible de rajouter plus de point d'écart sur angleterre Tonga @WinamaxSport @Winamax  comme sur les autres books? [LIEN],Sun Sep 22 11:23:05 +0000 2019,Megaros,854387775772274694,0,0
1175729970129321985,Voici le premier bet pour aujourd’hui:⚽️ WestHam ou nul face à United. 1.54D’autres bets vont suivre aujourd’hui avec de belles côtes !#ParionsSport #pronos #BetOfTheDay @Winamax,Sun Sep 22 11:14:03 +0000 2019,Wysteria,255678329,0,0
1175692659828174849,Salut @WinamaxSport @Winamax pouvez vous rajoutes l’handicap angletterre gagne de 39 ou plus contre les tonga merci 💪,Sun Sep 22 08:45:48 +0000 2019,jerome azuara,2246220933,0,0
1175687627179249665,Bonjour @Winamax pouvez-vous rajouter en buteur Bjorn Johnson du côté de Rosenborg⚽️ ?,Sun Sep 22 08:25:48 +0000 2019,greg🇫🇷,492482264,0,0
1175562541755490305,Allez le petit 7/600 pour finir la soirée sur @Winamax ! Bien plaisir ! [LIEN],Sun Sep 22 00:08:45 +0000 2019,Leonardo Docaprio,422181213,50,0
1175507302817959937,Le Petit Poucet sponsorisé par @Winamax est en train de manger l'ogre barcelonais 🙃,Sat Sep 21 20:29:15 +0000 2019,⭐ IɗуƖƖιc ⭐,2892488397,0,0
1175495628148920322,"A tenter ⚽️Match à 22h Brésil 🇧🇷Gabriel Barbosa buteur Cote à 2,40 @Winamax @Flamengo #pronos #prono #pronosticGL 🔥",Sat Sep 21 19:42:52 +0000 2019,YosAmRaN PRONO,3480407237,2,1
1175493701138821122,Météo nul sur Montpellier alors tous sur #ZEVENT2019  avec @Winamax et @ZEventfr. Venez faire votre don pour l'@institutpasteur ➡ [LIEN] [LIEN],Sat Sep 21 19:35:12 +0000 2019,Di PASQUALE Régis,1152205300834951169,1,0
1175476614651625472,Plus que 4 minutes pour s'inscrire ! On y va sur @Winamax pour faire une bonne action. Si j'ITM ce tournoi je doublerai mon ITM en don pour l'institut pasteur. #LFG [LIEN],Sat Sep 21 18:27:18 +0000 2019,DELMAS Adrien,448464647,27,4
1175474225378988032,On est là tournois #Zevent #ZEVENT2019 @Winamax,Sat Sep 21 18:17:49 +0000 2019,Twixo,744661952035692544,0,0
1175465543048015873,"Petit tournoi a 5 euros chez @Winamax  pour le Zevent a 20h, 2k ajouté par le site et toutes les entrées vont pour la cagnotte du #ZEVENT2019 ! Vous le trouverez dans l'onglet spécial de la page des tournois ![LIEN] [LIEN]",Sat Sep 21 17:43:19 +0000 2019,Bestmarmotte,2173849722,41,6
1175454766840856579,🚨📣 C'EST CE SOIR ! Tournoi de Poker (Gratuit) sur @winamax avec des joueurs de #Top14 !! Infos ici ➡➡ [LIEN] 😎,Sat Sep 21 17:00:29 +0000 2019,Le Rugbynistere,85279615,1,0
1175436426764259328,Mon après-midi ? Lancer un tournoi de poker gratuit sur @Winamax jouer 2h30 terminer 7eme sur 6823 joueurs pour gagner 2€50. [LIEN],Sat Sep 21 15:47:37 +0000 2019,Fleck,1147978872077586434,6,0
1175432969512738818,Il doit y avoir une erreur ? 🤔 @WinamaxSport @Winamax [LIEN],Sat Sep 21 15:33:53 +0000 2019,Nicolas Souchet,963139058,0,0
1175430246490955776,Quand est cke tu vas mettre des paillettes dans ma vie @Winamax ?,Sat Sep 21 15:23:03 +0000 2019,ємιℓια,1165989720897261573,4,0
1175413446474682369,"Alors, prêts pour la saison X ?... @Winamax @Fnl_live @olstar33 @fredylpoker @3DMAX_Poker @WamPoker @LeVietF0u @Nicoooooooolas @haygus @harperfr @BenjoDiMeo @florencemazet @LeGrandBlondW [LIEN]",Sat Sep 21 14:16:18 +0000 2019,alarcon thomas,1345026950,5,1
1175408087089537027,"Salut @Winamax , je veut participer au tournois @ZEventfr ce soir mais il impossible de payer le buyin sur le lobby. Une idée ?",Sat Sep 21 13:55:00 +0000 2019,Le vengeur mosquée,754089701028589568,0,0
1175402236756877312,Bonjour @Winamax la campus league c’est maintenu en 2019 ?,Sat Sep 21 13:31:45 +0000 2019,Oversen 🗝,1027280504754774016,0,0
1175393822244782080,Je vous ai dit qu’à 20h y’a le tournoi spécial #ZEvent à 5€ sur @Winamax ? 2000 lardons offerts à se partager et toute la dotation sera reversée à l’Institut Pasteur ! On se dépêche et on s’inscrit. #forceur,Sat Sep 21 12:58:19 +0000 2019,PonceP,1941982346,20,0
1175380847601561602,Pouvez vous ajouté les nombres d'ace entre medvedev et gerasimov svp @Winamax @WinamaxSport #TeamParieur,Sat Sep 21 12:06:46 +0000 2019,VISCA BARCAAAA,1167544775886757888,3,2
1175375964655820800,Les @ParisRMC attendent vos #pronos sur @OM_Officiel - @MontpellierHSC. Score et 1er buteur. A vous de jouer. @Winamax,Sat Sep 21 11:47:22 +0000 2019,Les Paris RMC,588339409,1,0
1175374821091422213,"🚨 Pari 100% GAGNANT🚨Avis aux amateurs !Brest mi-temps et fin de match, buteur @charbo10 , cleansheet @GLarsonneur !!! #FCGBSB29 @SB29 Je n'avais pas plus d'argent sur mon compte @Winamax @WinamaxSport dommage !!! [LIEN]",Sat Sep 21 11:42:49 +0000 2019,#TONTON,226322621,3,1
1175363522081042432,Proche de la TF du free de 11h @Winamax [LIEN],Sat Sep 21 10:57:55 +0000 2019,Raph54270,3078231545,0,0
1175359185732669440,"Coucou, ce soir je prends le live à 20h , on jouera le tournoi caritatif de @Winamax spécial #ZEVENT2019 , ca va être cool ! [LIEN]",Sat Sep 21 10:40:41 +0000 2019,Vinz,4381529895,13,0
1175355870089306112,"En résumé pour mes #pronos #foot today:⚽️Everton 1.67⚽️Nice 1.75⚽️Atlanta 1.70FUN: ⚽️Reims bat Monaco 2.50. (Jardim bientôt dehors, Slimani et Ben Yedder out, défense monégasque catastrophique... )XTRA FUN: un 3 sur 4 de ces 4 côtes.Bonne journée!@Winamax @ParionsSport",Sat Sep 21 10:27:31 +0000 2019,Wysteria,255678329,0,0
1175353539801026560,"Voici mon deuxième prono du jour:⚽️ 20H - Nice 1.75. Dijon n'a clairement pas le niveau en Ligue 1. Nice me semble bien supérieur, encore plus devant son public.#pronos @Winamax #ParionsSport",Sat Sep 21 10:18:15 +0000 2019,Wysteria,255678329,0,0
1175351919046483968,"Voici mon premier prono:⚽️16H - Everton à 1.67 sur @Winamax .A domicile, Everton reste sur 6 victoires consécutives (5 cleansheets). Parmi lesquelles Man Utd Chelsea et Arsenal!Everton veut l'Europe l'année prochaine, ils ne peuvent pas laisser des pts contre un promu.",Sat Sep 21 10:11:49 +0000 2019,Wysteria,255678329,0,0
1175350570640654337,"Bon au lieu de garder mes pronos pour moi, j'en partagerai tout les jours.Laissez un peu de temps pour voir si je suis efficace, mais le but est de proposer des côtes intéressantes.Sports concernés: Foot, Tennis, NBA et Football Américain. #pronos @Winamax",Sat Sep 21 10:06:27 +0000 2019,Wysteria,255678329,0,0
1175281715289513984,Il est pas volé celui là @WinamaxSport @Winamax @DominosLigue2 [LIEN],Sat Sep 21 05:32:51 +0000 2019,Marcinho,358671044,1,0
1175262860416409601,"✅Salut @Winamax et @ZEventfr , on balance toute la ClaeTV sur cet event, préparez vous à voir des logos partout.Bonus 🥊KO🥊 sur les streamers ClaeTV + 🎁lots partenaires🎁 si on croise des logos.On sera en direct évidement :▶️ [LIEN] [LIEN]",Sat Sep 21 04:17:55 +0000 2019,ClaedeusFR,2463408709,21,7
1175178938739548161,"5e sur 365 sur le Trident de @Winamax (10€ buy-in) pour 170€ ATs&lt;A5s, merci @PoncePax pour le ticket 10€ de dimanche sur le TOTP haha! @YoHViral [LIEN]",Fri Sep 20 22:44:27 +0000 2019,MewOne,756417611697647616,4,1
1175174977806639104,⁦@Winamax⁩ sponsor du ⁦@LeClubDes_5⁩ c’est le pari gagnant! Le rdv des fous de foot 🤪⚽️ sur YouTube avec ⁦Mister G Media ⁦@walidacherchour⁩ ⁦@RomainBeddouk⁩ ⁦@SamuelVaslin⁩ ⁦@BilalAch_t⁩ ⁦@MisterGbros⁩ [LIEN],Fri Sep 20 22:28:43 +0000 2019,Boris Ehrgott,1071464546,14,0
1175170411866275840,TF de l'Xstase 100 in process. @Winamax  Je ne suis pas 7/7 donc pas favori mais bon... [LIEN],Fri Sep 20 22:10:34 +0000 2019,Aladin,719999797260914688,24,1
1175169297909309441,J'ai enfin trouvé la méthode infaillible pour ne plus perdre d'argent au poker sur @Winamax.M'autobannir.,Fri Sep 20 22:06:08 +0000 2019,Douglas Gallant,2509974589,1,0
1175145759987159041,"Salut #TeamParieur La ligue 2 aujourd'hui se passe plutôt bien !Les 4 buteurs en forment ont répondus présents et nous ont régalés Courtet + Grbic + Kadewere + Vagner en 2/4, 3/4 et 4/4@nou_pronosoft pas a dire, les buteurs c'est vraiment bien côtés Merci @Winamax 🙏🏼 [LIEN]",Fri Sep 20 20:32:36 +0000 2019,Gostat.fr,1164457433173020673,1,0
1175128390204121088,Les amigos ! Demain soir tournoi caritatif sur @Winamax avec 2000€ ajoutés par le site. C'est 5€ rebuy et tous les buy-ins seront reversés à l'institut pasteur. Profitons-en pour effectuer tous les spews qu'on a rêvé faire toute l'année et qu'on a pas osé. #Fullbankrollici [LIEN],Fri Sep 20 19:23:35 +0000 2019,DELMAS Adrien,448464647,67,13
1175098142385168385,"Samedi 21 septembre à 20h, tournoi caritatif sur @winamax . Venezzz [LIEN]",Fri Sep 20 17:23:24 +0000 2019,Aladin,719999797260914688,8,0
1175093009391730689,Oh @Winamax  on peut pas parier sur les doublés en L2 ?,Fri Sep 20 17:03:00 +0000 2019,Vincenzo Jr,567612546,0,0
1175085257684635651,200€ de freebets chez @Winamax à gagner grâce à @RMCsport en ce moment en pronostiquant le bon score et le bon joueur de #FRAARG ⤵️[LIEN] [LIEN],Fri Sep 20 16:32:12 +0000 2019,CliCliC,2746893852,0,0
1175078757239087108,Notre maillot est maintenant en vente! Beaucoup de gens me le demandaient👇🏼🔥🔥🔥 #comeonvinskyfc @Winamax @adidasFR [LIEN],Fri Sep 20 16:06:22 +0000 2019,Vinsky,902674682,275,30
1174991415337738241,Grosse pensée pour @moundirofficiel avant le début de @DALS_TF1 ! Force à toi ! Tu vas nous manquer à Dublin @Winamax #WPO [LIEN],Fri Sep 20 10:19:18 +0000 2019,Guillaume Filleul,821147995,4,0
1174982603339812867,"Impossible de m'inscrire sur @Winamax car il est indiqué ""Remplissez automatiquement les champs du formulaire d'inscription avec #FranceConnect"",... sauf que mon adresse n'est même pas répertoriée. 🤔C'était mieux avant, où tu remplissais juste et basta!🤪#Winamax #Survivor",Fri Sep 20 09:44:17 +0000 2019,Seven ⭐⭐,38544872,0,0
1174971090151411715,Bonjour @Winamax Est-il prévu une arrivée de l’eSport sur votre site ?,Fri Sep 20 08:58:32 +0000 2019,Baptiste Alain,4861602575,0,0
1174814132048187393,"Une fois n'est pas coutume mon lapin. Table finale du Battle Royal sur @Winamax, let's go ! 🧙‍♂️ [LIEN]",Thu Sep 19 22:34:50 +0000 2019,DELMAS Adrien,448464647,37,0
1174798524833247233,Aucun favoris pour demain je ne vois aucune base pour la grille de demain sur @Winamax tssss 😅😅 #TeamParieur #LotoFoot #Winamax,Thu Sep 19 21:32:49 +0000 2019,Pequito ⚽️⭐️⭐️,1085019838639165440,3,0
1174788372608536576,Eh @Winamax ya moyen d'avoir des côtes pour les prochains rappeurs que 6ix9ine va balancer ?,Thu Sep 19 20:52:29 +0000 2019,Surprise,2393165687,2,0
1174780126564933632,Bravo à @RomainLewis Team Pro @Winamax  n°1 du classement GPI France ! Il détrône @PollakB ! [LIEN],Thu Sep 19 20:19:43 +0000 2019,SpinElite,862692047794339840,2,0
1174759659061895168,L’Europa League... et ses matchs incroyables 😂 Pourquoi j’ai pas mis 100€? 😁 @Winamax #EuropaLeague [LIEN],Thu Sep 19 18:58:23 +0000 2019,JB ⚽️🏃,1269948637,1,0
1174755810838294530,"Bonjour @Winamax , on connait pas encore la récompense du sunday surprise de Dimanche ?",Thu Sep 19 18:43:05 +0000 2019,Max,929819818236235776,0,0
1174716127307534338,Les matchs de la NFL seront dispo sur @WinamaxSport @Winamax 1 euro sur le compte suffira ( Portable ou Pc ) @ActusNFL @TDActu @ZoneSportsUS @BetonSportUS [LIEN],Thu Sep 19 16:05:24 +0000 2019,Athos,2630240588,0,0
1174672515056226306,Mains en l’air si t’es 1er GPI France 🇫🇷 🙋‍♂️🙋‍♂️🙋‍♂️🥇🤩🏆#longtermgoals #whatateam @Winamax [LIEN],Thu Sep 19 13:12:06 +0000 2019,Romain Lewis,1089974472,228,6
