id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184121561516773378,"L’industrie agroalimentaire a-t-elle perdu la main face aux exigences de transparence et de qualité des consommateurs ?
Retrouvez #NotreRegardSur @YukaApp : quand une application prend de vitesse l'industrie agroalimentaire
[LIEN]",Tue Oct 15 14:59:14 +0000 2019,CLAI,102130789,0,0
1183707962105311232,"Le #Nutri-Score et les apps de type @YukaApp bousculent l’#agroalimentaire et accélèrent les reformulations des produits
[LIEN] via @lemondefr",Mon Oct 14 11:35:45 +0000 2019,Isabelle Senand,982258080200048640,0,3
1183707630088413186,Le #NutriScore et @YukaApp bousculent l’agroalimentaire (et c'est très bien !) cc @Anses_fr [LIEN] via @lemondefr,Mon Oct 14 11:34:25 +0000 2019,Guillaume de DURAT,34594366,5,1
1183593269478985728,"Le #NutriScore et @YukaApp bousculent l’agroalimentaire
[LIEN] L’appétit des consommateurs pour les applications qui scannent nos assiettes est tel que les industriels et les distributeurs sont désormais obligés d’en tenir compte.",Mon Oct 14 04:00:00 +0000 2019,Olivier Frey,1322170292,2,1
1183328038597120000,"Un peu après tout monde, j'ai installé et commencé à utiliser l'appli @YukaApp, et au-delà de l'intérêt évident de l'outil, je suis frappé par son très bon UX/UI : tout est très simple, instinctif, clair, efficace et rapide. C'est vraiment du super design.",Sun Oct 13 10:26:04 +0000 2019,Julien Moya,293468790,29,0
1183124429305462785,"Apparemment on yukatise les produits, du verbe Yukatiser... Trop fort @YukaApp vous êtes au même niveau qu'@UberFR !",Sat Oct 12 20:56:59 +0000 2019,Christophe Bauquet,247468217,0,0
1182640766230896641,"[ #application ] 🥕 Yuka - l'application qui bouscule la grande distribution !  🤔✅

👉[LIEN] 

@01net @YukaApp 

#commerce #grandedistribution #conso #nutriscore #Alimentation #agroalimentaire [LIEN]",Fri Oct 11 12:55:05 +0000 2019,DataSolutions - RetailExplorer,613429400,0,0
1182587358178402304,"[#PRESSE] Coup de projecteur sur @phenixfr @LITAco_ et @YukaApp : 3 startups alumni @Paris_and_Co œuvrent pour le changement et un monde #durable !
📣Leurs fondateurs témoignent dans @MagazineCapital
 ! @Jean_MOREAU_ @Eva_Sdn et @JulieChapon 
[LIEN]",Fri Oct 11 09:22:52 +0000 2019,Paris&Co,97694576,12,7
1182578094336557056,"Une demande croissante d'informations des consommateurs sur l'origine des matières (« ce produit est fait avec quoi ? », cf @clearfashionapp sur le modèle de @YukaApp), Laurent Raoul @IfmParis dans le cadre du nouvel accélérateur mode/luxe de @Bpifrance à @ESCPeurope",Fri Oct 11 08:46:03 +0000 2019,IfmParis,35792246,2,0
1182294129151221760,Fan de l'application @YukaApp ? Cette conférence est pour vous ! 👇 [LIEN],Thu Oct 10 13:57:41 +0000 2019,MAIF SOCIAL CLUB,778965675909971968,1,0
1182280963012927489,"L'impact de l'application @YukaApp sur la grande distribution. #retail #innovation #grandedistribution #transparence #customerexperience #change 
[LIEN]",Thu Oct 10 13:05:21 +0000 2019,UntieNots,1003265802454396928,1,1
1182196116332466176,"Après @YukaApp et @C_qui_le_Patron, c'est maintenant à @60millions de s'intéresser au marché des applications destiné aux consommateurs 🛒 La concurrence est maintenant lancée pour savoir décrypter la composition de ce que nous achetons 💳 [LIEN] via @bifrance",Thu Oct 10 07:28:12 +0000 2019,☞ Lauriane Sourdot,1061555052,5,1
1181944000384815104,"« Le 1er va vous étonner ! » 😳
Avec beaucoup de supers #entrepreneur.e.s à impact : @Eva_Sdn de @LITAco_, @JulieChapon de @YukaApp, @NicoChabanne de @C_qui_le_Patron, @VaillantAlexis d’@AlterFood... 
[LIEN] 
@MagazineCapital @ManagementMag 
#Entrepreneuriat [LIEN]",Wed Oct 09 14:46:23 +0000 2019,Jean MOREAU,4289113664,20,7
1181842987455827968,"En réaction à @YukaApp, l'agroalimentaire tente la transparence avec #CodeonlineFood via @usinenouvelle [LIEN] [LIEN]",Wed Oct 09 08:05:00 +0000 2019,#S N A C K I N G 😋🥑🍔,249591308,1,0
1181810287239938049,".@60millions va à son tour lancer une #appli concurrente de @YukaApp
#60Millions #60MillionsDeConsommateurs
#yuka #cestQuoiCeProduit #distribution #analyse #produits #grandeConso #consommateurs #linéaires #app
[LIEN]",Wed Oct 09 05:55:04 +0000 2019,RegisAaa,1430824584,0,0
1181784985239478277,"#FoodTech #Digital 👉 Après @C_qui_le_Patron , @60millions de #consommateurs veut aussi concurrencer @YukaApp [la guerre des #apps 📲 aura t elle lieu ?] 

@olivier_frey @zakine67 @ChouetteAgile @AlimAvenir @fadouce @R_Hourlier @Antoine_Poupart 

[LIEN]",Wed Oct 09 04:14:31 +0000 2019,Thomas Bégon,2439692492,13,13
1181680394426634242,Après @YukaApp voici @cestquoileproduit .... #mieuxmanger #mieuxconsommer #food tracker les produits au delà des ingrédients. [LIEN] #innovation,Tue Oct 08 21:18:55 +0000 2019,Pierre Desangles,22302931,1,0
1181556680628342784,"Vous aider à décrypter les étiquettes et shopper des produits plus respectueux de votre #santé et de l'#environnement, c'est déjà l'ambition de @YukaApp mais aussi celle des futures #applis @C_qui_le_Patron et @60millions !
[LIEN]",Tue Oct 08 13:07:19 +0000 2019,Savoo.fr,1101668221,2,2
1181502885940609024,"Les nouvelles #apps comme @YukaApp, @kwalitoApp, ou @foodvisor_app vous ont-elles fait changer votre mode de consommation ? 🍅🥕",Tue Oct 08 09:33:33 +0000 2019,AXA France 🎀,113592560,49,5
1181476549155053569,"Les fruits et légumes d’octobre by @YukaApp [LIEN]
#mangerdesaison",Tue Oct 08 07:48:54 +0000 2019,LesCourtsCircuits,799522729926021120,0,0
1181307189174132744,"Comme une envie de shopping... Twitter, existerait-il une app équivalente de @YukaApp pour les fringues et chaussures ? [LIEN]",Mon Oct 07 20:35:56 +0000 2019,Magali Quentel-Reme,123601496,2,0
1184404315521331201,"Florent a mis le “paquet” pour réaliser ce #CV très original, qui s’inspire des packaging @Monoprix et de @YukaApp. Il cherche un #stage en communication digitale en 2020 : [LIEN] [LIEN]",Wed Oct 16 09:42:48 +0000 2019,Wizbii,89198210,0,0
1184365227003076608,"Que pensez-vous de @YukaApp @EmmanuelFaber ? 
- Ces app participent à une prise de conscience. Mais leur caractère bénéfique est à la proportion de l’esprit critique qu’elles suscitent. Elles peuvent également faire courir le risque inverse. 
@franceinfo",Wed Oct 16 07:07:29 +0000 2019,Jean,720036487,0,0
1184322071771279360,"Comment @YukaApp a pris de vitesse la grande distribution
[LIEN] Pour Eric Giuily, président de CLAI, elle a fait de l'achat un acte militant, reversant ainsi le rapport de force au profit des consommateurs.",Wed Oct 16 04:16:00 +0000 2019,Olivier Frey,1322170292,0,0
1184198143547711488,"👉 Comment Yuka 🥕 a pris de vitesse la grande distribution | via ⁦@LesEchos⁩ - ⁦@YukaApp⁩ 👏👏
#FoodTech #Startup  [LIEN]",Tue Oct 15 20:03:33 +0000 2019,Patrick Amiel,11122042,6,4
1184186505927053312,Comment ⁦@YukaApp⁩ pris de vitesse la grande distribution #Nutrition #Retail #Startup [LIEN] @LesEchos ⁦@EricGiuily⁩,Tue Oct 15 19:17:18 +0000 2019,🅰️ziliz de Veyrinas,237413297,9,10
1184575574003666944,"Que les gens, les consommateurs devraient réellement et contrôler au plus vite ce qu’ils mangent..
#Yuka @YukaApp et accepter d’investir quelques centimes de plus dans un produit de meilleur qualité 😋
Si ils savaient... [LIEN]",Wed Oct 16 21:03:19 +0000 2019,Cédric Saint Samson,1076513695,0,0
