date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Fri Oct 11 12:35:11 +0000 2019,,1182635758793953281,1182633811156393984,,"@quen_tinnn Bonjour Quentin! Super merci &amp; vous? :)
Etes vous inscrit à la Newsletters Zalando? Celle-ci vous permet d'obtenir un bon de réduction de bienvenue et des offres exclusives par email :)

[LIEN]

A bientot!",Zalando France,218801417
Fri Oct 11 12:33:05 +0000 2019,,1182635227551879170,1182634338288099331,,"@nur__sss Hello, pouvez vous revenir en DM avec un numéro de commande afin de nous expliquer ce qu'il se passe ?",Zalando France,218801417
Fri Oct 11 10:13:05 +0000 2019,,1182599997990342656,1182598685491957760,,"@ObamYvan Hey @ObamYvan! Nous sommes désolés pour cette situation, pouvez-vous revenir vers nous en message privé avec vote adresse mail afin de trouver une solution? Merci d'avance :)",Zalando France,218801417
Thu Oct 10 17:30:09 +0000 2019,,1182347600659390466,1182346368586850304,,"@Clemaxito Hello, pouvez vous nous communiquer un numéro de commande et une référence d'article en MP svp que l'on puisse regarder ? Merci !",Zalando France,218801417
Thu Oct 10 15:42:47 +0000 2019,,1182320580026085377,1182319457391259650,,"@WazaFlo Bonjour! Nous sommes navré pour ceci, pourriez vous revenir vers nous en message privé avec votre numéro de commande svp?",Zalando France,218801417
Thu Oct 10 11:44:58 +0000 2019,,1182260731481350145,1182259989748092928,,"@_B9878 Hello ! Le 1er août dernier nous avons en effet introduit un montant minimum d’achat de 24,90 €  pour pouvoir bénéficier de la livraison gratuite.
Pour en savoir plus, n’hésitez pas à consulter notre FAQ sur [LIEN] ! Nous vous souhaitons une agréable journée",Zalando France,218801417
Wed Oct 09 12:54:38 +0000 2019,,1181915878088151040,1181913771863883776,,"@Ludicweb Bonjour, je suis sincèrement désolée pour ce désagrément :(",Zalando France,218801417
Wed Oct 09 11:19:24 +0000 2019,,1181891908861403136,1181891361571778560,,"@apollinepietu Hello, je suis navrée d'apprendre ça ! Pouvez vous revenir en DM s'il vous plait pour nous expliquer la situation, afin que l'on puisse check ce que l'on peut faire pour vous ? Merci !",Zalando France,218801417
Tue Oct 08 10:00:53 +0000 2019,,1181509761092718597,1181508806880251907,,"@VVMad Bonjour, afin de pouvoir regarder ce qu'il se passe, pourriez-vous revenir vers nous en DM avec vos numéros de commandes ? Merci :)",Zalando France,218801417
Tue Oct 08 06:20:22 +0000 2019,,1181454267783274496,1181452798166274048,,"@AnaisEdrd Bonjour, 
Je suis désolée de la situation. Pouvez-vous me donner le numéro de votre commande en DM s'il vous plaît? Je vais voir ce qu'il s'est passé. 
Merci :)",Zalando France,218801417
Tue Oct 08 06:06:28 +0000 2019,,1181450770409017344,1181288118860824576,,"@ldatq Bonjour, 
Nous sommes désolée de la situation. Pouvez-vous nous donner votre numéro de commande en DM  s'il vous plaît? 
Merci :)",Zalando France,218801417
Mon Oct 07 06:12:20 +0000 2019,,1181089860519628800,1180976268239659009,,@eugenieburban Merci pour votre fidélité :) ! Une très belle semaine à vous Eugénie,Zalando France,218801417
Sun Oct 06 13:34:47 +0000 2019,,1180838817911246849,1180836757325144064,,"@Baby_Princess_L Hello, je suis navrée que notre nouvelle politique ne vous donne pas satisfaction. Votre avis a été transmis au service concerné, merci beaucoup  Pour plus d'info sur la livraison, voici :[LIEN]
Bonne journée !",Zalando France,218801417
Sun Oct 06 11:39:21 +0000 2019,,1180809767025070080,1180807578403643392,,"@yns_om Hello, pouvez vous nous faire passer un numéro de commande en DM svp ? Merci beaucoup !",Zalando France,218801417
